-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
void at::native::(anonymous namespace)::indexSelectS...         0.00%       0.000us         0.00%       0.000us       0.000us      62.208us         0.11%      62.208us       1.944us            32  
                                            aten::fill_         0.06%     507.267us         0.11%     989.024us      10.196us      59.683us         0.10%      59.683us       0.615us            97  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      59.683us         0.10%      59.683us       0.933us            64  
                               cudaEventRecordWithFlags         0.04%     351.114us         0.04%     351.114us       1.764us      52.735us         0.09%      52.735us       0.265us           199  
                                  cudaStreamIsCapturing         0.03%     294.394us         0.03%     294.394us       0.637us      52.289us         0.09%      52.289us       0.113us           462  
                                           _C::rms_norm         0.04%     364.445us         0.08%     690.262us      21.571us      50.814us         0.09%      50.814us       1.588us            32  
void vllm::rms_norm_kernel<c10::BFloat16, 8, 2, true...         0.00%       0.000us         0.00%       0.000us       0.000us      50.814us         0.09%      50.814us       1.588us            32  
                           _prepare_pos_seq_lens_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      39.774us         0.07%      39.774us       1.243us            32  
void cublasLt::splitKreduce_kernel<32, 16, int, __nv...         0.00%       0.000us         0.00%       0.000us       0.000us      32.029us         0.05%      32.029us       1.335us            24  
                                           aten::arange         0.05%     464.558us         0.23%       2.050ms      32.037us      29.761us         0.05%      59.522us       0.930us            64  
void (anonymous namespace)::elementwise_kernel_with_...         0.00%       0.000us         0.00%       0.000us       0.000us      29.761us         0.05%      29.761us       0.930us            32  
                         Memcpy HtoD (Pinned -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us      26.660us         0.05%      26.660us       0.375us            71  
                                    _apply_write_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      23.424us         0.04%      23.424us       3.904us             6  
                                    cudaStreamWaitEvent         0.01%      77.467us         0.01%      77.467us       2.421us      21.953us         0.04%      21.953us       0.686us            32  
                                       cuLaunchKernelEx         0.29%       2.583ms         0.29%       2.583ms       9.785us      14.783us         0.03%      14.783us       0.056us           264  
                                   cudaFuncSetAttribute         0.26%       2.286ms         0.26%       2.286ms       2.747us      13.056us         0.02%      13.056us       0.016us           832  
                                       cudaLaunchKernel        10.51%      92.291ms        10.52%      92.451ms      11.281us       6.592us         0.01%      12.832us       0.002us          8195  
                                Activity Buffer Request         0.44%       3.859ms         0.67%       5.891ms       1.964ms       5.472us         0.01%     225.187us      75.062us             3  
                                       _bincount_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       5.152us         0.01%       5.152us       5.152us             1  
                         _prepare_prefill_inputs_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       3.777us         0.01%       3.777us       3.777us             1  
                                      aten::index_fill_         0.00%      33.253us         0.01%      52.018us      26.009us       3.647us         0.01%       3.647us       1.823us             2  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       3.647us         0.01%       3.647us       1.823us             2  
                                   cudaEventSynchronize         0.02%     141.973us         0.02%     141.973us       4.437us       1.568us         0.00%       1.568us       0.049us            32  
                   execute_context_1(4)_generation_0(0)         1.55%      13.661ms        12.20%     107.196ms     107.196ms       0.000us         0.00%       1.584ms       1.584ms             1  
                                           aten::select         0.78%       6.896ms         1.09%       9.585ms       2.995us       0.000us         0.00%       0.000us       0.000us          3201  
                                       aten::as_strided         1.52%      13.329ms         1.52%      13.329ms       0.849us       0.000us         0.00%       0.000us       0.000us         15695  
