# provenance: env=sys sha=n/a cmd="CUDA_VISIBLE_DEVICES=0/1 python3 scripts/nixl_desc_granularity_bench.py --role P/D --workdir pd_disagg/hw/exp026_tls_20260915T1228/bench/baseline --region 134217728 --volume 67108864" date=2026-09-15T12:35:28+00:00 gpu="RTX 4090 x2" driver=610.57.04 exp=EXP-026 ucx_tls=(unset) path=prep_xfer_dlist+make_prepped_xfer/READ/VRAM/UCX iters=3 xfer_timeout=20.0
phase,layout,gran_bytes,total_bytes,n_desc,iters,skip_desc_merge,wall_median_s,bw_GBps,bw_per_desc_GBps,us_per_desc,tel_total_bytes,tel_xfer_s,tel_desc_count
A_granularity,contiguous,16384,67108864,4096,3,0,0.173687,0.3864,9.4e-05,42.4,67108864,173680,1
A_granularity,contiguous,65536,67108864,1024,3,0,0.169611,0.3957,0.000386,165.64,67108864,169600,1
A_granularity,contiguous,262144,67108864,256,3,0,0.175694,0.382,0.001492,686.3,67108864,175683,1
A_granularity,contiguous,1048576,67108864,64,3,0,0.179639,0.3736,0.005837,2806.86,67108864,179618,1
A_granularity,contiguous,4194304,67108864,16,3,0,0.178657,0.3756,0.023477,11166.06,67108864,178647,1
A_granularity,contiguous,16777216,67108864,4,3,0,0.178937,0.375,0.093761,44734.21,67108864,178930,1
A_granularity,scattered,16384,67108864,4096,3,0,0.264527,0.2537,6.2e-05,64.58,67108864,264520,4096
A_granularity,scattered,65536,67108864,1024,3,0,0.193323,0.3471,0.000339,188.79,67108864,193317,1024
A_granularity,scattered,262144,67108864,256,3,0,0.174108,0.3854,0.001506,680.11,67108864,174099,256
A_granularity,scattered,1048576,67108864,64,3,0,0.169452,0.396,0.006188,2647.69,67108864,169441,64
A_granularity,scattered,4194304,67108864,16,3,0,0.168549,0.3982,0.024885,10534.34,67108864,168545,16
A_granularity,scattered,16777216,67108864,4,3,0,0.168195,0.399,0.099749,42048.7,67108864,168190,4
C_merge_switch,contiguous,16384,67108864,4096,3,0,0.168884,0.3974,9.7e-05,41.23,67108864,168877,1
C_merge_switch,contiguous,16384,67108864,4096,3,1,0.24305,0.2761,6.7e-05,59.34,67108864,243044,4096
C_merge_switch,scattered,16384,67108864,4096,3,0,0.24773,0.2709,6.6e-05,60.48,67108864,247722,4096
C_merge_switch,scattered,16384,67108864,4096,3,1,0.250283,0.2681,6.5e-05,61.1,67108864,250276,4096
C_merge_switch,contiguous,1048576,67108864,64,3,0,0.172921,0.3881,0.006064,2701.89,67108864,172916,1
C_merge_switch,contiguous,1048576,67108864,64,3,1,0.173177,0.3875,0.006055,2705.9,67108864,173166,64
C_merge_switch,scattered,1048576,67108864,64,3,0,0.170405,0.3938,0.006153,2662.58,67108864,170400,64
C_merge_switch,scattered,1048576,67108864,64,3,1,0.168539,0.3982,0.006222,2633.43,67108864,168529,64
D_size_sweep,contiguous,16384,8388608,512,3,0,0.02092,0.401,0.000783,40.86,8388608,20908,1
D_size_sweep,contiguous,16384,33554432,2048,3,0,0.084314,0.398,0.000194,41.17,33554432,84304,1
D_size_sweep,contiguous,16384,134217728,8192,3,0,0.341727,0.3928,4.8e-05,41.71,134217728,341716,1
