0, 38, 2520 MHz, 63.35 W, 0x0000000000000000
1, 54, 2790 MHz, 92.32 W, 0x0000000000000000
0, 38, 2520 MHz, 62.94 W, 0x0000000000000000
1, 51, 2520 MHz, 77.89 W, 0x0000000000000000
0, 38, 2520 MHz, 63.01 W, 0x0000000000000000
1, 50, 2520 MHz, 72.13 W, 0x0000000000000000
0, 38, 2520 MHz, 62.96 W, 0x0000000000000000
1, 49, 2520 MHz, 71.20 W, 0x0000000000000000
0, 38, 2520 MHz, 62.93 W, 0x0000000000000000
1, 48, 2520 MHz, 70.22 W, 0x0000000000000000
0, 38, 2520 MHz, 63.02 W, 0x0000000000000000
1, 48, 2520 MHz, 69.15 W, 0x0000000000000000
0, 38, 2520 MHz, 63.10 W, 0x0000000000000001
1, 47, 2520 MHz, 68.40 W, 0x0000000000000000
0, 37, 270 MHz, 36.60 W, 0x0000000000000001
1, 47, 2520 MHz, 67.57 W, 0x0000000000000001
0, 37, 210 MHz, 16.56 W, 0x0000000000000001
1, 45, 225 MHz, 29.00 W, 0x0000000000000001
0, 40, 2820 MHz, 303.39 W, 0x0000000000000000
1, 46, 2520 MHz, 32.75 W, 0x0000000000000000
0, 38, 2520 MHz, 76.23 W, 0x0000000000000000
1, 56, 2805 MHz, 383.92 W, 0x0000000000000000
0, 40, 2835 MHz, 182.30 W, 0x0000000000000000
1, 48, 2805 MHz, 100.66 W, 0x0000000000000000
0, 39, 2520 MHz, 78.45 W, 0x0000000000000000
1, 56, 2790 MHz, 383.96 W, 0x0000000000000000
0, 40, 2835 MHz, 92.00 W, 0x0000000000000000
1, 48, 2520 MHz, 104.42 W, 0x0000000000000000
0, 39, 2520 MHz, 78.19 W, 0x0000000000000000
1, 57, 2790 MHz, 385.69 W, 0x0000000000000000
0, 41, 2835 MHz, 118.36 W, 0x0000000000000000
1, 49, 2805 MHz, 104.23 W, 0x0000000000000000
0, 39, 2520 MHz, 63.14 W, 0x0000000000000000
1, 55, 2790 MHz, 366.63 W, 0x0000000000000000
0, 41, 2820 MHz, 93.16 W, 0x0000000000000000
1, 49, 2520 MHz, 106.21 W, 0x0000000000000000
0, 39, 2520 MHz, 63.09 W, 0x0000000000000000
1, 58, 2790 MHz, 386.35 W, 0x0000000000000000
0, 41, 2820 MHz, 90.51 W, 0x0000000000000000
1, 55, 2805 MHz, 166.96 W, 0x0000000000000000
0, 50, 2505 MHz, 105.60 W, 0x0000000000000004
1, 52, 2790 MHz, 322.41 W, 0x0000000000000000
0, 41, 2835 MHz, 92.22 W, 0x0000000000000000
1, 54, 2805 MHz, 136.66 W, 0x0000000000000000
0, 40, 2520 MHz, 181.13 W, 0x0000000000000000
