0, 49, 2520 MHz, 66.98 W, 0x0000000000000000
1, 52, 2520 MHz, 83.23 W, 0x0000000000000000
0, 49, 2520 MHz, 66.59 W, 0x0000000000000000
1, 50, 2520 MHz, 72.88 W, 0x0000000000000000
0, 48, 2520 MHz, 65.89 W, 0x0000000000000000
1, 49, 2520 MHz, 72.22 W, 0x0000000000000000
0, 48, 2520 MHz, 65.08 W, 0x0000000000000000
1, 49, 2520 MHz, 71.73 W, 0x0000000000000000
0, 47, 2520 MHz, 64.46 W, 0x0000000000000000
1, 48, 2520 MHz, 70.72 W, 0x0000000000000000
0, 47, 2520 MHz, 64.12 W, 0x0000000000000000
1, 47, 2520 MHz, 69.22 W, 0x0000000000000000
0, 46, 480 MHz, 59.34 W, 0x0000000000000001
1, 46, 2520 MHz, 68.71 W, 0x0000000000000000
0, 45, 210 MHz, 26.31 W, 0x0000000000000001
1, 45, 420 MHz, 56.31 W, 0x0000000000000001
0, 44, 210 MHz, 20.56 W, 0x0000000000000001
1, 44, 210 MHz, 22.75 W, 0x0000000000000001
0, 44, 210 MHz, 21.18 W, 0x0000000000000001
1, 44, 210 MHz, 19.72 W, 0x0000000000000001
0, 60, 2310 MHz, 425.39 W, 0x0000000000000004
1, 52, 2805 MHz, 128.51 W, 0x0000000000000000
0, 49, 2820 MHz, 309.24 W, 0x0000000000000000
1, 53, 2805 MHz, 352.92 W, 0x0000000000000000
0, 58, 2445 MHz, 172.59 W, 0x0000000000000000
1, 54, 2805 MHz, 358.41 W, 0x0000000000000000
0, 54, 2805 MHz, 308.55 W, 0x0000000000000000
1, 55, 2805 MHz, 352.23 W, 0x0000000000000000
0, 51, 2820 MHz, 243.14 W, 0x0000000000000000
1, 56, 2805 MHz, 364.33 W, 0x0000000000000000
0, 51, 2820 MHz, 290.23 W, 0x0000000000000000
1, 56, 2805 MHz, 352.96 W, 0x0000000000000000
0, 62, 2445 MHz, 318.37 W, 0x0000000000000004
1, 56, 2805 MHz, 354.95 W, 0x0000000000000000
0, 63, 2445 MHz, 348.05 W, 0x0000000000000004
1, 57, 2790 MHz, 365.42 W, 0x0000000000000000
0, 57, 2625 MHz, 463.53 W, 0x0000000000000004
1, 57, 2790 MHz, 355.18 W, 0x0000000000000000
0, 62, 2430 MHz, 213.80 W, 0x0000000000000004
1, 58, 2790 MHz, 367.45 W, 0x0000000000000000
0, 52, 2820 MHz, 290.11 W, 0x0000000000000000
1, 58, 2790 MHz, 365.96 W, 0x0000000000000000
0, 53, 2820 MHz, 334.38 W, 0x0000000000000000
