0, 41, 2520 MHz, 63.84 W, 0x0000000000000000
1, 39, 2520 MHz, 61.57 W, 0x0000000000000000
0, 41, 2520 MHz, 63.71 W, 0x0000000000000000
1, 39, 2520 MHz, 61.53 W, 0x0000000000000000
0, 40, 465 MHz, 58.95 W, 0x0000000000000001
1, 38, 375 MHz, 48.45 W, 0x0000000000000001
0, 39, 210 MHz, 24.59 W, 0x0000000000000001
1, 37, 210 MHz, 17.56 W, 0x0000000000000001
0, 39, 210 MHz, 20.42 W, 0x0000000000000001
1, 37, 210 MHz, 15.79 W, 0x0000000000000001
0, 39, 210 MHz, 19.56 W, 0x0000000000000001
1, 37, 210 MHz, 15.58 W, 0x0000000000000001
0, 38, 210 MHz, 20.63 W, 0x0000000000000001
1, 36, 210 MHz, 16.03 W, 0x0000000000000001
0, 38, 210 MHz, 20.73 W, 0x0000000000000001
1, 36, 210 MHz, 15.81 W, 0x0000000000000001
0, 38, 210 MHz, 20.73 W, 0x0000000000000001
1, 36, 210 MHz, 15.51 W, 0x0000000000000001
0, 38, 210 MHz, 20.43 W, 0x0000000000000001
1, 35, 210 MHz, 14.96 W, 0x0000000000000001
0, 44, 2460 MHz, 72.28 W, 0x0000000000000000
1, 35, 2520 MHz, 16.92 W, 0x0000000000000000
0, 54, 2355 MHz, 448.26 W, 0x0000000000000004
1, 54, 2400 MHz, 447.99 W, 0x0000000000000004
0, 56, 2355 MHz, 448.51 W, 0x0000000000000004
1, 56, 2460 MHz, 449.70 W, 0x0000000000000004
0, 55, 2610 MHz, 449.82 W, 0x0000000000000004
1, 54, 2670 MHz, 447.69 W, 0x0000000000000004
0, 58, 2400 MHz, 449.60 W, 0x0000000000000004
1, 58, 2430 MHz, 449.52 W, 0x0000000000000004
0, 59, 2385 MHz, 449.91 W, 0x0000000000000004
1, 59, 2415 MHz, 449.16 W, 0x0000000000000004
0, 57, 2565 MHz, 449.38 W, 0x0000000000000004
1, 57, 2640 MHz, 447.48 W, 0x0000000000000004
0, 59, 2415 MHz, 448.46 W, 0x0000000000000004
1, 61, 2415 MHz, 448.99 W, 0x0000000000000004
0, 61, 2355 MHz, 450.04 W, 0x0000000000000004
1, 61, 2415 MHz, 449.62 W, 0x0000000000000004
0, 62, 2370 MHz, 449.45 W, 0x0000000000000004
1, 61, 2460 MHz, 449.58 W, 0x0000000000000004
0, 60, 2565 MHz, 449.45 W, 0x0000000000000004
1, 59, 2640 MHz, 447.58 W, 0x0000000000000004
0, 62, 2385 MHz, 449.33 W, 0x0000000000000004
1, 62, 2400 MHz, 449.32 W, 0x0000000000000004
0, 64, 2355 MHz, 450.19 W, 0x0000000000000004
1, 63, 2415 MHz, 449.70 W, 0x0000000000000004
0, 61, 2520 MHz, 449.73 W, 0x0000000000000004
1, 61, 2625 MHz, 447.98 W, 0x0000000000000004
0, 64, 2355 MHz, 450.34 W, 0x0000000000000004
1, 63, 2460 MHz, 448.44 W, 0x0000000000000004
0, 65, 2340 MHz, 449.86 W, 0x0000000000000004
1, 64, 2385 MHz, 449.34 W, 0x0000000000000004
0, 65, 2310 MHz, 450.60 W, 0x0000000000000004
1, 64, 2400 MHz, 449.66 W, 0x0000000000000004
0, 63, 2520 MHz, 449.77 W, 0x0000000000000004
1, 62, 2610 MHz, 448.36 W, 0x0000000000000004
0, 65, 2340 MHz, 449.68 W, 0x0000000000000004
1, 65, 2415 MHz, 449.62 W, 0x0000000000000004
0, 66, 2340 MHz, 450.15 W, 0x0000000000000004
1, 65, 2385 MHz, 449.73 W, 0x0000000000000004
0, 64, 2520 MHz, 448.76 W, 0x0000000000000004
1, 63, 2595 MHz, 449.03 W, 0x0000000000000004
0, 66, 2340 MHz, 450.39 W, 0x0000000000000004
1, 65, 2370 MHz, 449.29 W, 0x0000000000000004
0, 63, 2805 MHz, 448.46 W, 0x0000000000000000
1, 61, 2775 MHz, 419.54 W, 0x0000000000000000
