0, 48, 2520 MHz, 67.08 W, 0x0000000000000000
1, 49, 2790 MHz, 85.21 W, 0x0000000000000000
0, 47, 2520 MHz, 65.39 W, 0x0000000000000000
1, 47, 2520 MHz, 67.48 W, 0x0000000000000000
0, 47, 2520 MHz, 65.04 W, 0x0000000000000000
1, 46, 2520 MHz, 66.63 W, 0x0000000000000000
0, 46, 2520 MHz, 64.52 W, 0x0000000000000000
1, 46, 2520 MHz, 65.75 W, 0x0000000000000000
0, 46, 2520 MHz, 63.96 W, 0x0000000000000000
1, 45, 2520 MHz, 66.07 W, 0x0000000000000000
0, 46, 2520 MHz, 63.95 W, 0x0000000000000000
1, 45, 2520 MHz, 65.89 W, 0x0000000000000000
0, 45, 2520 MHz, 63.68 W, 0x0000000000000001
1, 44, 2520 MHz, 65.17 W, 0x0000000000000000
0, 44, 285 MHz, 38.46 W, 0x0000000000000001
1, 44, 2520 MHz, 64.81 W, 0x0000000000000000
0, 43, 210 MHz, 21.61 W, 0x0000000000000001
1, 42, 360 MHz, 26.52 W, 0x0000000000000001
0, 43, 210 MHz, 22.17 W, 0x0000000000000001
1, 42, 210 MHz, 18.48 W, 0x0000000000000001
0, 54, 2820 MHz, 433.92 W, 0x0000000000000000
1, 54, 2490 MHz, 37.60 W, 0x0000000000000004
0, 60, 2460 MHz, 451.89 W, 0x0000000000000004
1, 53, 2790 MHz, 444.84 W, 0x0000000000000000
0, 61, 2505 MHz, 410.51 W, 0x0000000000000004
1, 60, 2475 MHz, 427.02 W, 0x0000000000000004
0, 57, 2805 MHz, 389.29 W, 0x0000000000000000
1, 61, 2520 MHz, 422.80 W, 0x0000000000000004
0, 58, 2805 MHz, 405.77 W, 0x0000000000000000
1, 53, 2790 MHz, 383.15 W, 0x0000000000000000
0, 62, 2475 MHz, 274.77 W, 0x0000000000000004
1, 61, 2400 MHz, 459.09 W, 0x0000000000000004
0, 62, 2460 MHz, 426.45 W, 0x0000000000000004
1, 55, 2790 MHz, 351.73 W, 0x0000000000000000
0, 59, 2805 MHz, 412.64 W, 0x0000000000000000
1, 63, 2550 MHz, 344.10 W, 0x0000000000000004
0, 60, 2805 MHz, 408.31 W, 0x0000000000000000
1, 57, 2790 MHz, 386.17 W, 0x0000000000000000
0, 61, 2760 MHz, 443.82 W, 0x0000000000000004
1, 62, 2400 MHz, 432.25 W, 0x0000000000000004
0, 66, 2460 MHz, 423.72 W, 0x0000000000000004
1, 65, 2505 MHz, 420.30 W, 0x0000000000000004
0, 60, 2805 MHz, 400.20 W, 0x0000000000000000
1, 64, 2490 MHz, 390.96 W, 0x0000000000000004
0, 62, 2805 MHz, 446.00 W, 0x0000000000000000
1, 62, 2580 MHz, 441.37 W, 0x0000000000000004
0, 65, 2370 MHz, 446.84 W, 0x0000000000000004
1, 52, 2790 MHz, 303.44 W, 0x0000000000000000
0, 62, 2805 MHz, 429.87 W, 0x0000000000000000
1, 59, 2790 MHz, 435.45 W, 0x0000000000000000
0, 53, 2805 MHz, 104.41 W, 0x0000000000000000
1, 52, 2790 MHz, 302.57 W, 0x0000000000000000
0, 61, 2805 MHz, 440.61 W, 0x0000000000000000
1, 59, 2790 MHz, 451.75 W, 0x0000000000000000
0, 53, 2805 MHz, 151.21 W, 0x0000000000000000
1, 52, 2790 MHz, 358.28 W, 0x0000000000000000
0, 64, 2460 MHz, 228.83 W, 0x0000000000000004
1, 49, 2520 MHz, 86.56 W, 0x0000000000000000
0, 60, 2805 MHz, 428.06 W, 0x0000000000000000
1, 58, 2790 MHz, 379.33 W, 0x0000000000000000
0, 64, 2460 MHz, 292.23 W, 0x0000000000000004
1, 63, 2475 MHz, 339.54 W, 0x0000000000000004
0, 59, 2805 MHz, 411.29 W, 0x0000000000000000
1, 58, 2790 MHz, 394.48 W, 0x0000000000000000
0, 65, 2460 MHz, 424.27 W, 0x0000000000000004
1, 62, 2490 MHz, 369.37 W, 0x0000000000000000
0, 56, 2805 MHz, 417.20 W, 0x0000000000000000
1, 59, 2790 MHz, 373.08 W, 0x0000000000000000
0, 52, 2520 MHz, 110.94 W, 0x0000000000000000
1, 51, 2790 MHz, 122.39 W, 0x0000000000000000
0, 63, 2445 MHz, 193.04 W, 0x0000000000000004
1, 49, 2520 MHz, 77.31 W, 0x0000000000000000
0, 59, 2805 MHz, 421.89 W, 0x0000000000000000
1, 58, 2790 MHz, 393.40 W, 0x0000000000000000
0, 52, 2805 MHz, 176.72 W, 0x0000000000000000
1, 61, 2490 MHz, 130.50 W, 0x0000000000000004
0, 60, 2805 MHz, 425.67 W, 0x0000000000000000
1, 63, 2490 MHz, 397.47 W, 0x0000000000000004
0, 61, 2805 MHz, 432.52 W, 0x0000000000000000
1, 59, 2790 MHz, 381.86 W, 0x0000000000000000
0, 53, 2805 MHz, 217.83 W, 0x0000000000000000
1, 64, 2505 MHz, 237.54 W, 0x0000000000000004
0, 61, 2805 MHz, 428.93 W, 0x0000000000000000
1, 64, 2505 MHz, 410.90 W, 0x0000000000000004
0, 65, 2445 MHz, 360.28 W, 0x0000000000000004
1, 59, 2790 MHz, 390.79 W, 0x0000000000000000
0, 60, 2805 MHz, 439.48 W, 0x0000000000000000
1, 64, 2385 MHz, 460.19 W, 0x0000000000000004
0, 60, 2805 MHz, 429.45 W, 0x0000000000000000
1, 58, 2790 MHz, 361.32 W, 0x0000000000000000
0, 55, 2805 MHz, 344.87 W, 0x0000000000000000
1, 60, 2790 MHz, 430.35 W, 0x0000000000000004
0, 52, 2520 MHz, 100.05 W, 0x0000000000000000
1, 57, 2790 MHz, 395.93 W, 0x0000000000000000
0, 51, 2520 MHz, 77.19 W, 0x0000000000000000
1, 50, 2520 MHz, 87.03 W, 0x0000000000000000
0, 59, 2805 MHz, 438.85 W, 0x0000000000000000
1, 59, 2790 MHz, 447.32 W, 0x0000000000000000
