0, 41, 210 MHz, 19.97 W, 0x0000000000000001
1, 42, 210 MHz, 18.81 W, 0x0000000000000001
0, 40, 210 MHz, 18.95 W, 0x0000000000000001
1, 42, 210 MHz, 18.61 W, 0x0000000000000001
0, 40, 210 MHz, 18.83 W, 0x0000000000000001
1, 41, 210 MHz, 18.45 W, 0x0000000000000001
0, 40, 210 MHz, 18.34 W, 0x0000000000000001
1, 41, 210 MHz, 18.07 W, 0x0000000000000001
0, 39, 210 MHz, 18.32 W, 0x0000000000000001
1, 40, 210 MHz, 17.99 W, 0x0000000000000001
0, 39, 210 MHz, 18.05 W, 0x0000000000000001
1, 40, 210 MHz, 18.12 W, 0x0000000000000001
0, 39, 210 MHz, 16.89 W, 0x0000000000000001
1, 40, 210 MHz, 18.25 W, 0x0000000000000001
0, 39, 210 MHz, 17.38 W, 0x0000000000000001
1, 39, 210 MHz, 17.64 W, 0x0000000000000001
0, 39, 210 MHz, 17.43 W, 0x0000000000000001
1, 39, 210 MHz, 18.24 W, 0x0000000000000001
0, 41, 2595 MHz, 181.20 W, 0x0000000000000000
1, 49, 2805 MHz, 359.30 W, 0x0000000000000000
0, 51, 2430 MHz, 160.05 W, 0x0000000000000004
1, 51, 2805 MHz, 379.53 W, 0x0000000000000000
0, 43, 2580 MHz, 198.59 W, 0x0000000000000000
1, 51, 2805 MHz, 361.26 W, 0x0000000000000000
0, 50, 2430 MHz, 200.26 W, 0x0000000000000004
1, 52, 2805 MHz, 378.92 W, 0x0000000000000000
0, 44, 2820 MHz, 209.32 W, 0x0000000000000000
1, 53, 2805 MHz, 379.74 W, 0x0000000000000000
0, 44, 2820 MHz, 229.86 W, 0x0000000000000000
1, 54, 2790 MHz, 379.79 W, 0x0000000000000000
0, 50, 2760 MHz, 174.01 W, 0x0000000000000004
1, 54, 2790 MHz, 378.25 W, 0x0000000000000000
0, 42, 2520 MHz, 101.99 W, 0x0000000000000000
1, 55, 2790 MHz, 367.56 W, 0x0000000000000000
0, 48, 2445 MHz, 127.60 W, 0x0000000000000000
1, 55, 2790 MHz, 365.10 W, 0x0000000000000000
0, 45, 2820 MHz, 187.50 W, 0x0000000000000000
1, 56, 2790 MHz, 366.89 W, 0x0000000000000000
0, 45, 2415 MHz, 219.62 W, 0x0000000000000000
1, 56, 2790 MHz, 371.96 W, 0x0000000000000000
0, 46, 2520 MHz, 146.23 W, 0x0000000000000004
1, 58, 2790 MHz, 384.49 W, 0x0000000000000000
0, 47, 2820 MHz, 238.09 W, 0x0000000000000004
1, 58, 2790 MHz, 374.60 W, 0x0000000000000000
0, 53, 2415 MHz, 210.99 W, 0x0000000000000000
1, 59, 2790 MHz, 387.71 W, 0x0000000000000000
0, 55, 2610 MHz, 231.82 W, 0x0000000000000000
1, 59, 2790 MHz, 386.65 W, 0x0000000000000000
0, 46, 2820 MHz, 235.92 W, 0x0000000000000000
1, 60, 2790 MHz, 393.31 W, 0x0000000000000000
0, 53, 2820 MHz, 153.74 W, 0x0000000000000000
1, 60, 2790 MHz, 386.79 W, 0x0000000000000000
0, 48, 2820 MHz, 250.38 W, 0x0000000000000000
1, 60, 2790 MHz, 375.79 W, 0x0000000000000000
0, 48, 2565 MHz, 218.86 W, 0x0000000000000000
1, 61, 2790 MHz, 402.42 W, 0x0000000000000000
0, 50, 2415 MHz, 184.07 W, 0x0000000000000000
1, 62, 2790 MHz, 392.60 W, 0x0000000000000000
0, 51, 2565 MHz, 156.49 W, 0x0000000000000004
1, 62, 2790 MHz, 389.89 W, 0x0000000000000000
0, 52, 2415 MHz, 170.81 W, 0x0000000000000000
1, 62, 2790 MHz, 401.38 W, 0x0000000000000000
0, 48, 2820 MHz, 258.58 W, 0x0000000000000000
1, 62, 2790 MHz, 383.72 W, 0x0000000000000000
0, 47, 2520 MHz, 126.84 W, 0x0000000000000000
1, 63, 2790 MHz, 412.17 W, 0x0000000000000000
0, 49, 2820 MHz, 190.49 W, 0x0000000000000000
1, 62, 2790 MHz, 378.84 W, 0x0000000000000000
0, 54, 2745 MHz, 156.32 W, 0x0000000000000004
1, 62, 2790 MHz, 387.36 W, 0x0000000000000000
0, 52, 2415 MHz, 193.58 W, 0x0000000000000000
1, 63, 2790 MHz, 395.46 W, 0x0000000000000000
0, 49, 2820 MHz, 206.41 W, 0x0000000000000000
1, 63, 2790 MHz, 401.98 W, 0x0000000000000000
0, 47, 2820 MHz, 170.85 W, 0x0000000000000000
1, 63, 2790 MHz, 408.42 W, 0x0000000000000000
