# provenance: env=sys sha=717b683182 cmd="nvidia-smi --query-gpu=index,timestamp,pcie.link.gen.current,pcie.link.width.current,clocks.sm,clocks.mem,pstate,power.draw --format=csv -lms 200" date=2026-09-15T02:54:11+00:00 gpu="RTX 4090 x2" driver=610.57.04 exp=EXP-020-appendixA dtype=half round=5
index, timestamp, pcie.link.gen.current, pcie.link.width.current, clocks.current.sm [MHz], clocks.current.memory [MHz], pstate, power.draw [W]
0, 2026/09/15 02:54:11.195, 4, 16, 2835 MHz, 10501 MHz, P0, 87.61 W
1, 2026/09/15 02:54:11.206, 4, 16, 2820 MHz, 10501 MHz, P0, 80.55 W
0, 2026/09/15 02:54:11.413, 4, 16, 2835 MHz, 10501 MHz, P0, 87.61 W
1, 2026/09/15 02:54:11.413, 4, 16, 2820 MHz, 10501 MHz, P0, 80.55 W
0, 2026/09/15 02:54:11.613, 4, 16, 2835 MHz, 10501 MHz, P0, 87.61 W
1, 2026/09/15 02:54:11.613, 2, 16, 2820 MHz, 10501 MHz, P5, 79.22 W
0, 2026/09/15 02:54:11.814, 4, 16, 2835 MHz, 10501 MHz, P0, 87.39 W
1, 2026/09/15 02:54:11.820, 2, 16, 2820 MHz, 10501 MHz, P5, 79.22 W
0, 2026/09/15 02:54:12.020, 4, 16, 2835 MHz, 10501 MHz, P0, 87.39 W
1, 2026/09/15 02:54:12.020, 2, 16, 645 MHz, 810 MHz, P5, 55.21 W
0, 2026/09/15 02:54:12.221, 4, 16, 2520 MHz, 10251 MHz, P2, 75.38 W
1, 2026/09/15 02:54:12.221, 2, 16, 645 MHz, 810 MHz, P5, 55.21 W
0, 2026/09/15 02:54:12.421, 4, 16, 2520 MHz, 10251 MHz, P2, 75.38 W
1, 2026/09/15 02:54:12.421, 2, 16, 645 MHz, 810 MHz, P5, 55.21 W
0, 2026/09/15 02:54:12.622, 4, 16, 2520 MHz, 10251 MHz, P2, 70.14 W
1, 2026/09/15 02:54:12.622, 4, 16, 2520 MHz, 10251 MHz, P2, 50.37 W
0, 2026/09/15 02:54:12.822, 4, 16, 2520 MHz, 10251 MHz, P2, 70.14 W
1, 2026/09/15 02:54:12.823, 4, 16, 2520 MHz, 10251 MHz, P2, 50.37 W
0, 2026/09/15 02:54:13.023, 4, 16, 2520 MHz, 10251 MHz, P2, 70.14 W
1, 2026/09/15 02:54:13.023, 4, 16, 2820 MHz, 10251 MHz, P2, 61.64 W
