# provenance: env=sys sha=717b683182 cmd="nvidia-smi --query-gpu=index,timestamp,pcie.link.gen.current,pcie.link.width.current,clocks.sm --format=csv -lms 500" date=2026-09-15T02:40:59+00:00 gpu="RTX 4090 x2" driver=610.57.04 tool_sha=717b683182 nccl=libnccl.so.2.28.9 exp=EXP-020 arm=shm1_p2pSYS_protoDEF knobs="NCCL_SHM_DISABLE=1 NCCL_P2P_LEVEL=SYS"
index, timestamp, pcie.link.gen.current, pcie.link.width.current, clocks.current.sm [MHz]
1, 2026/09/15 02:41:21.946, 4, 16, 2820 MHz
0, 2026/09/15 02:41:22.446, 4, 16, 2835 MHz
1, 2026/09/15 02:41:22.446, 4, 16, 2820 MHz
0, 2026/09/15 02:41:22.947, 4, 16, 2835 MHz
1, 2026/09/15 02:41:22.947, 4, 16, 2820 MHz
0, 2026/09/15 02:41:23.447, 4, 16, 2835 MHz
1, 2026/09/15 02:41:23.447, 4, 16, 2820 MHz
0, 2026/09/15 02:41:23.947, 4, 16, 2835 MHz
1, 2026/09/15 02:41:23.948, 4, 16, 2820 MHz
0, 2026/09/15 02:41:24.448, 4, 16, 2835 MHz
1, 2026/09/15 02:41:24.448, 4, 16, 2820 MHz
0, 2026/09/15 02:41:24.948, 4, 16, 2835 MHz
1, 2026/09/15 02:41:24.948, 4, 16, 2820 MHz
0, 2026/09/15 02:41:25.449, 4, 16, 2835 MHz
1, 2026/09/15 02:41:25.449, 4, 16, 2820 MHz
0, 2026/09/15 02:41:25.949, 4, 16, 2835 MHz
1, 2026/09/15 02:41:25.949, 4, 16, 2820 MHz
0, 2026/09/15 02:41:26.450, 4, 16, 2835 MHz
1, 2026/09/15 02:41:26.450, 4, 16, 2820 MHz
0, 2026/09/15 02:41:26.950, 4, 16, 2835 MHz
1, 2026/09/15 02:41:26.950, 4, 16, 2820 MHz
0, 2026/09/15 02:41:27.450, 4, 16, 2835 MHz
1, 2026/09/15 02:41:27.451, 4, 16, 2820 MHz
0, 2026/09/15 02:41:27.951, 4, 16, 2835 MHz
1, 2026/09/15 02:41:27.951, 4, 16, 2820 MHz
0, 2026/09/15 02:41:28.451, 4, 16, 2835 MHz
1, 2026/09/15 02:41:28.451, 4, 16, 2820 MHz
