# provenance: env=sys sha=717b683182 cmd="nvidia-smi --query-gpu=index,timestamp,pcie.link.gen.current,pcie.link.width.current,clocks.sm,clocks.mem,pstate,power.draw --format=csv -lms 200" date=2026-09-15T02:53:59+00:00 gpu="RTX 4090 x2" driver=610.57.04 exp=EXP-020-appendixA dtype=float round=5
index, timestamp, pcie.link.gen.current, pcie.link.width.current, clocks.current.sm [MHz], clocks.current.memory [MHz], pstate, power.draw [W]
0, 2026/09/15 02:53:59.518, 4, 16, 2835 MHz, 10501 MHz, P0, 93.17 W
1, 2026/09/15 02:53:59.526, 4, 16, 2820 MHz, 10501 MHz, P0, 80.65 W
0, 2026/09/15 02:53:59.732, 4, 16, 2835 MHz, 10501 MHz, P0, 87.79 W
1, 2026/09/15 02:53:59.732, 4, 16, 2820 MHz, 10501 MHz, P0, 80.65 W
0, 2026/09/15 02:53:59.933, 4, 16, 2835 MHz, 10501 MHz, P0, 87.79 W
1, 2026/09/15 02:53:59.933, 4, 16, 2820 MHz, 10501 MHz, P0, 80.65 W
0, 2026/09/15 02:54:00.133, 2, 16, 810 MHz, 810 MHz, P5, 87.62 W
1, 2026/09/15 02:54:00.148, 4, 16, 2820 MHz, 10501 MHz, P0, 79.36 W
0, 2026/09/15 02:54:00.348, 2, 16, 810 MHz, 810 MHz, P5, 87.62 W
1, 2026/09/15 02:54:00.348, 4, 16, 2820 MHz, 10501 MHz, P0, 79.36 W
0, 2026/09/15 02:54:00.549, 2, 16, 810 MHz, 810 MHz, P5, 87.62 W
1, 2026/09/15 02:54:00.549, 4, 16, 2520 MHz, 10251 MHz, P2, 68.35 W
0, 2026/09/15 02:54:00.749, 4, 16, 2520 MHz, 10251 MHz, P2, 68.76 W
1, 2026/09/15 02:54:00.749, 4, 16, 2520 MHz, 10251 MHz, P2, 68.35 W
0, 2026/09/15 02:54:00.949, 4, 16, 2520 MHz, 10251 MHz, P2, 68.76 W
1, 2026/09/15 02:54:00.949, 4, 16, 2520 MHz, 10251 MHz, P2, 68.35 W
0, 2026/09/15 02:54:01.150, 4, 16, 2520 MHz, 10251 MHz, P2, 65.25 W
1, 2026/09/15 02:54:01.150, 4, 16, 2520 MHz, 10251 MHz, P2, 64.19 W
0, 2026/09/15 02:54:01.350, 4, 16, 2520 MHz, 10251 MHz, P2, 65.25 W
1, 2026/09/15 02:54:01.350, 4, 16, 2520 MHz, 10251 MHz, P2, 64.19 W
0, 2026/09/15 02:54:01.550, 4, 16, 2520 MHz, 10251 MHz, P2, 65.25 W
1, 2026/09/15 02:54:01.551, 4, 16, 2820 MHz, 10251 MHz, P2, 71.30 W
0, 2026/09/15 02:54:01.751, 4, 16, 2835 MHz, 10251 MHz, P2, 78.26 W
1, 2026/09/15 02:54:01.751, 4, 16, 2820 MHz, 10251 MHz, P2, 71.30 W
0, 2026/09/15 02:54:01.951, 4, 16, 2835 MHz, 10251 MHz, P2, 78.26 W
1, 2026/09/15 02:54:01.952, 4, 16, 2820 MHz, 10251 MHz, P2, 71.30 W
0, 2026/09/15 02:54:02.152, 4, 16, 2835 MHz, 10251 MHz, P2, 98.75 W
1, 2026/09/15 02:54:02.152, 4, 16, 2820 MHz, 10251 MHz, P2, 88.31 W
0, 2026/09/15 02:54:02.352, 4, 16, 2835 MHz, 10251 MHz, P2, 98.75 W
1, 2026/09/15 02:54:02.352, 4, 16, 2820 MHz, 10251 MHz, P2, 88.31 W
0, 2026/09/15 02:54:02.553, 4, 16, 2835 MHz, 10251 MHz, P2, 98.75 W
1, 2026/09/15 02:54:02.553, 4, 16, 2820 MHz, 10251 MHz, P2, 101.78 W
0, 2026/09/15 02:54:02.753, 4, 16, 2835 MHz, 10251 MHz, P2, 111.46 W
1, 2026/09/15 02:54:02.753, 4, 16, 2820 MHz, 10251 MHz, P2, 101.78 W
0, 2026/09/15 02:54:02.954, 4, 16, 2835 MHz, 10251 MHz, P2, 111.46 W
1, 2026/09/15 02:54:02.954, 4, 16, 2820 MHz, 10251 MHz, P2, 101.78 W
0, 2026/09/15 02:54:03.154, 4, 16, 2835 MHz, 10251 MHz, P2, 113.03 W
1, 2026/09/15 02:54:03.154, 4, 16, 2820 MHz, 10251 MHz, P2, 103.74 W
0, 2026/09/15 02:54:03.354, 4, 16, 2835 MHz, 10251 MHz, P2, 113.03 W
1, 2026/09/15 02:54:03.355, 4, 16, 2820 MHz, 10251 MHz, P2, 103.74 W
0, 2026/09/15 02:54:03.555, 4, 16, 2835 MHz, 10251 MHz, P2, 113.03 W
1, 2026/09/15 02:54:03.555, 4, 16, 2820 MHz, 10251 MHz, P2, 104.51 W
0, 2026/09/15 02:54:03.755, 4, 16, 2835 MHz, 10251 MHz, P2, 113.64 W
1, 2026/09/15 02:54:03.755, 4, 16, 2820 MHz, 10251 MHz, P2, 104.51 W
0, 2026/09/15 02:54:03.956, 4, 16, 2835 MHz, 10251 MHz, P2, 113.64 W
1, 2026/09/15 02:54:03.956, 4, 16, 2820 MHz, 10251 MHz, P2, 104.51 W
0, 2026/09/15 02:54:04.156, 4, 16, 2835 MHz, 10251 MHz, P2, 114.27 W
1, 2026/09/15 02:54:04.156, 4, 16, 2820 MHz, 10251 MHz, P2, 104.86 W
0, 2026/09/15 02:54:04.357, 4, 16, 2835 MHz, 10251 MHz, P2, 114.27 W
