# provenance: env=sys sha=717b683182 cmd="nvidia-smi --query-gpu=index,timestamp,pcie.link.gen.current,pcie.link.width.current,clocks.sm,utilization.gpu,memory.used --format=csv -lms 200" date=2026-09-15T03:35:57+00:00 gpu="RTX 4090 x2" driver=610.57.04 exp=EXP-020-appendixB tag=under_vllm_load_r1
index, timestamp, pcie.link.gen.current, pcie.link.width.current, clocks.current.sm [MHz], utilization.gpu [%], memory.used [MiB]
0, 2026/09/15 03:35:57.938, 1, 16, 210 MHz, 0 %, 23620 MiB
1, 2026/09/15 03:35:57.945, 1, 16, 210 MHz, 0 %, 23620 MiB
0, 2026/09/15 03:35:58.149, 1, 16, 210 MHz, 0 %, 23620 MiB
1, 2026/09/15 03:35:58.149, 1, 16, 210 MHz, 0 %, 23620 MiB
0, 2026/09/15 03:35:58.349, 1, 16, 210 MHz, 0 %, 23620 MiB
1, 2026/09/15 03:35:58.350, 1, 16, 210 MHz, 0 %, 23620 MiB
0, 2026/09/15 03:35:58.550, 1, 16, 210 MHz, 0 %, 23651 MiB
1, 2026/09/15 03:35:58.550, 1, 16, 210 MHz, 0 %, 23620 MiB
0, 2026/09/15 03:35:58.750, 4, 16, 2520 MHz, 2 %, 24011 MiB
1, 2026/09/15 03:35:58.750, 4, 16, 2520 MHz, 0 %, 24011 MiB
0, 2026/09/15 03:35:58.951, 4, 16, 2520 MHz, 2 %, 23711 MiB
1, 2026/09/15 03:35:58.951, 4, 16, 2520 MHz, 0 %, 24027 MiB
0, 2026/09/15 03:35:59.151, 4, 16, 2520 MHz, 2 %, 23737 MiB
1, 2026/09/15 03:35:59.152, 4, 16, 2520 MHz, 7 %, 23711 MiB
0, 2026/09/15 03:35:59.352, 4, 16, 2520 MHz, 7 %, 23751 MiB
1, 2026/09/15 03:35:59.352, 4, 16, 2520 MHz, 7 %, 23711 MiB
0, 2026/09/15 03:35:59.552, 4, 16, 2520 MHz, 7 %, 23759 MiB
1, 2026/09/15 03:35:59.553, 4, 16, 2520 MHz, 7 %, 23713 MiB
0, 2026/09/15 03:35:59.753, 4, 16, 2520 MHz, 8 %, 23735 MiB
1, 2026/09/15 03:35:59.753, 4, 16, 2520 MHz, 8 %, 23725 MiB
0, 2026/09/15 03:35:59.954, 4, 16, 2520 MHz, 8 %, 23711 MiB
1, 2026/09/15 03:35:59.954, 4, 16, 2520 MHz, 8 %, 23741 MiB
0, 2026/09/15 03:36:00.154, 4, 16, 2520 MHz, 8 %, 23733 MiB
1, 2026/09/15 03:36:00.154, 4, 16, 2520 MHz, 7 %, 23717 MiB
0, 2026/09/15 03:36:00.355, 4, 16, 2520 MHz, 7 %, 23757 MiB
1, 2026/09/15 03:36:00.355, 4, 16, 2520 MHz, 7 %, 23711 MiB
0, 2026/09/15 03:36:00.555, 4, 16, 2520 MHz, 7 %, 23751 MiB
1, 2026/09/15 03:36:00.556, 4, 16, 2520 MHz, 7 %, 23719 MiB
0, 2026/09/15 03:36:00.756, 4, 16, 2520 MHz, 8 %, 23713 MiB
1, 2026/09/15 03:36:00.756, 4, 16, 2520 MHz, 8 %, 23731 MiB
0, 2026/09/15 03:36:00.957, 4, 16, 2520 MHz, 8 %, 23711 MiB
1, 2026/09/15 03:36:00.957, 4, 16, 2520 MHz, 8 %, 23749 MiB
0, 2026/09/15 03:36:01.157, 4, 16, 2520 MHz, 8 %, 23711 MiB
1, 2026/09/15 03:36:01.157, 4, 16, 2520 MHz, 8 %, 23759 MiB
0, 2026/09/15 03:36:01.358, 4, 16, 2520 MHz, 8 %, 23719 MiB
1, 2026/09/15 03:36:01.358, 4, 16, 2520 MHz, 8 %, 23751 MiB
0, 2026/09/15 03:36:01.558, 4, 16, 2520 MHz, 8 %, 23735 MiB
1, 2026/09/15 03:36:01.559, 4, 16, 2520 MHz, 8 %, 23711 MiB
0, 2026/09/15 03:36:01.759, 4, 16, 2520 MHz, 8 %, 23741 MiB
1, 2026/09/15 03:36:01.759, 4, 16, 2520 MHz, 9 %, 23711 MiB
0, 2026/09/15 03:36:01.960, 4, 16, 2520 MHz, 8 %, 23753 MiB
1, 2026/09/15 03:36:01.960, 4, 16, 2520 MHz, 9 %, 23711 MiB
0, 2026/09/15 03:36:02.160, 4, 16, 2520 MHz, 8 %, 23757 MiB
1, 2026/09/15 03:36:02.160, 4, 16, 2520 MHz, 8 %, 23711 MiB
0, 2026/09/15 03:36:02.361, 4, 16, 2520 MHz, 8 %, 23755 MiB
1, 2026/09/15 03:36:02.361, 4, 16, 2520 MHz, 8 %, 23717 MiB
0, 2026/09/15 03:36:02.561, 4, 16, 2520 MHz, 8 %, 23717 MiB
1, 2026/09/15 03:36:02.562, 4, 16, 2520 MHz, 8 %, 23731 MiB
0, 2026/09/15 03:36:02.762, 4, 16, 2520 MHz, 8 %, 23713 MiB
1, 2026/09/15 03:36:02.762, 4, 16, 2520 MHz, 8 %, 23713 MiB
0, 2026/09/15 03:36:02.962, 4, 16, 2520 MHz, 8 %, 23620 MiB
1, 2026/09/15 03:36:02.969, 4, 16, 2520 MHz, 8 %, 23620 MiB
0, 2026/09/15 03:36:03.169, 4, 16, 2520 MHz, 8 %, 23620 MiB
1, 2026/09/15 03:36:03.169, 4, 16, 2520 MHz, 0 %, 23620 MiB
0, 2026/09/15 03:36:03.369, 4, 16, 2520 MHz, 0 %, 23620 MiB
1, 2026/09/15 03:36:03.370, 4, 16, 2520 MHz, 0 %, 23620 MiB
