# provenance: env=sys sha=717b683182 cmd="nvidia-smi --query-gpu=index,timestamp,pcie.link.gen.current,pcie.link.width.current,clocks.sm,clocks.mem,pstate,power.draw --format=csv -lms 200" date=2026-09-15T09:46:31+00:00 gpu="RTX 4090 x2" driver=610.57.04 exp=EXP-020-appendixC dtype=half round=60
index, timestamp, pcie.link.gen.current, pcie.link.width.current, clocks.current.sm [MHz], clocks.current.memory [MHz], pstate, power.draw [W]
0, 2026/09/15 09:46:32.112, 4, 16, 2835 MHz, 10501 MHz, P0, 88.88 W
1, 2026/09/15 09:46:32.118, 4, 16, 2820 MHz, 10501 MHz, P0, 81.14 W
0, 2026/09/15 09:46:32.323, 4, 16, 2835 MHz, 10501 MHz, P0, 88.88 W
1, 2026/09/15 09:46:32.323, 2, 16, 855 MHz, 810 MHz, P5, 79.59 W
0, 2026/09/15 09:46:32.523, 4, 16, 2520 MHz, 10501 MHz, P0, 88.25 W
1, 2026/09/15 09:46:32.524, 2, 16, 855 MHz, 810 MHz, P5, 79.59 W
0, 2026/09/15 09:46:32.724, 4, 16, 2520 MHz, 10501 MHz, P0, 88.25 W
1, 2026/09/15 09:46:32.725, 2, 16, 855 MHz, 810 MHz, P5, 79.59 W
0, 2026/09/15 09:46:32.925, 4, 16, 2520 MHz, 10501 MHz, P2, 75.31 W
1, 2026/09/15 09:46:32.942, 2, 16, 720 MHz, 810 MHz, P5, 51.07 W
0, 2026/09/15 09:46:33.143, 4, 16, 2520 MHz, 10501 MHz, P2, 75.31 W
1, 2026/09/15 09:46:33.143, 2, 16, 720 MHz, 810 MHz, P5, 51.07 W
0, 2026/09/15 09:46:33.343, 4, 16, 2520 MHz, 10501 MHz, P2, 75.31 W
1, 2026/09/15 09:46:33.344, 4, 16, 2520 MHz, 10251 MHz, P2, 41.03 W
0, 2026/09/15 09:46:33.544, 4, 16, 2520 MHz, 10251 MHz, P2, 65.91 W
1, 2026/09/15 09:46:33.544, 4, 16, 2520 MHz, 10251 MHz, P2, 41.03 W
0, 2026/09/15 09:46:33.744, 4, 16, 2520 MHz, 10251 MHz, P2, 65.91 W
1, 2026/09/15 09:46:33.744, 4, 16, 2520 MHz, 10251 MHz, P2, 41.03 W
0, 2026/09/15 09:46:33.945, 4, 16, 2835 MHz, 10251 MHz, P2, 68.06 W
1, 2026/09/15 09:46:33.945, 4, 16, 2520 MHz, 10251 MHz, P2, 60.73 W
0, 2026/09/15 09:46:34.145, 4, 16, 2835 MHz, 10251 MHz, P2, 68.06 W
1, 2026/09/15 09:46:34.145, 4, 16, 2520 MHz, 10251 MHz, P2, 60.73 W
0, 2026/09/15 09:46:34.345, 4, 16, 2835 MHz, 10251 MHz, P2, 68.06 W
1, 2026/09/15 09:46:34.345, 4, 16, 2820 MHz, 10251 MHz, P2, 82.69 W
0, 2026/09/15 09:46:34.545, 4, 16, 2835 MHz, 10251 MHz, P2, 86.62 W
1, 2026/09/15 09:46:34.545, 4, 16, 2820 MHz, 10251 MHz, P2, 82.69 W
0, 2026/09/15 09:46:34.746, 4, 16, 2835 MHz, 10251 MHz, P2, 86.62 W
1, 2026/09/15 09:46:34.746, 4, 16, 2820 MHz, 10251 MHz, P2, 82.69 W
0, 2026/09/15 09:46:34.946, 4, 16, 2835 MHz, 10251 MHz, P2, 108.21 W
1, 2026/09/15 09:46:34.946, 4, 16, 2820 MHz, 10251 MHz, P2, 100.35 W
0, 2026/09/15 09:46:35.146, 4, 16, 2835 MHz, 10251 MHz, P2, 108.21 W
1, 2026/09/15 09:46:35.146, 4, 16, 2820 MHz, 10251 MHz, P2, 100.35 W
0, 2026/09/15 09:46:35.347, 4, 16, 2835 MHz, 10251 MHz, P2, 108.21 W
1, 2026/09/15 09:46:35.347, 4, 16, 2820 MHz, 10251 MHz, P2, 106.86 W
0, 2026/09/15 09:46:35.547, 4, 16, 2835 MHz, 10251 MHz, P2, 115.82 W
1, 2026/09/15 09:46:35.547, 4, 16, 2820 MHz, 10251 MHz, P2, 106.86 W
0, 2026/09/15 09:46:35.747, 4, 16, 2835 MHz, 10251 MHz, P2, 115.82 W
1, 2026/09/15 09:46:35.748, 4, 16, 2820 MHz, 10251 MHz, P2, 106.86 W
0, 2026/09/15 09:46:35.948, 4, 16, 2835 MHz, 10251 MHz, P2, 117.30 W
1, 2026/09/15 09:46:35.948, 4, 16, 2820 MHz, 10251 MHz, P2, 108.08 W
0, 2026/09/15 09:46:36.148, 4, 16, 2835 MHz, 10251 MHz, P2, 117.30 W
1, 2026/09/15 09:46:36.148, 4, 16, 2820 MHz, 10251 MHz, P2, 108.08 W
0, 2026/09/15 09:46:36.349, 4, 16, 2835 MHz, 10251 MHz, P2, 117.30 W
1, 2026/09/15 09:46:36.349, 4, 16, 2820 MHz, 10251 MHz, P2, 108.14 W
0, 2026/09/15 09:46:36.549, 4, 16, 2835 MHz, 10251 MHz, P2, 117.56 W
1, 2026/09/15 09:46:36.549, 4, 16, 2820 MHz, 10251 MHz, P2, 108.14 W
0, 2026/09/15 09:46:36.749, 4, 16, 2835 MHz, 10251 MHz, P2, 117.56 W
1, 2026/09/15 09:46:36.749, 4, 16, 2820 MHz, 10251 MHz, P2, 108.14 W
0, 2026/09/15 09:46:36.950, 4, 16, 2835 MHz, 10251 MHz, P2, 118.18 W
1, 2026/09/15 09:46:36.950, 4, 16, 2820 MHz, 10251 MHz, P2, 108.27 W
0, 2026/09/15 09:46:37.150, 4, 16, 2835 MHz, 10251 MHz, P2, 118.18 W
1, 2026/09/15 09:46:37.150, 4, 16, 2820 MHz, 10251 MHz, P2, 108.27 W
0, 2026/09/15 09:46:37.351, 4, 16, 2835 MHz, 10251 MHz, P2, 119.55 W
1, 2026/09/15 09:46:37.351, 4, 16, 2820 MHz, 10251 MHz, P2, 109.62 W
0, 2026/09/15 09:46:37.551, 4, 16, 2835 MHz, 10251 MHz, P2, 119.55 W
1, 2026/09/15 09:46:37.551, 4, 16, 2820 MHz, 10251 MHz, P2, 109.62 W
0, 2026/09/15 09:46:37.751, 4, 16, 2835 MHz, 10251 MHz, P2, 119.55 W
1, 2026/09/15 09:46:37.751, 4, 16, 2820 MHz, 10251 MHz, P2, 109.62 W
0, 2026/09/15 09:46:37.952, 4, 16, 2835 MHz, 10251 MHz, P2, 119.23 W
1, 2026/09/15 09:46:37.952, 4, 16, 2820 MHz, 10251 MHz, P2, 108.98 W
0, 2026/09/15 09:46:38.152, 4, 16, 2835 MHz, 10251 MHz, P2, 119.23 W
1, 2026/09/15 09:46:38.152, 4, 16, 2820 MHz, 10251 MHz, P2, 108.98 W
0, 2026/09/15 09:46:38.353, 4, 16, 2835 MHz, 10251 MHz, P2, 118.79 W
1, 2026/09/15 09:46:38.353, 4, 16, 2820 MHz, 10251 MHz, P2, 107.75 W
0, 2026/09/15 09:46:38.553, 4, 16, 2835 MHz, 10251 MHz, P2, 118.79 W
1, 2026/09/15 09:46:38.553, 4, 16, 2820 MHz, 10251 MHz, P2, 107.75 W
0, 2026/09/15 09:46:38.753, 4, 16, 2835 MHz, 10251 MHz, P2, 118.79 W
1, 2026/09/15 09:46:38.754, 4, 16, 2820 MHz, 10251 MHz, P2, 107.75 W
0, 2026/09/15 09:46:38.954, 4, 16, 2835 MHz, 10251 MHz, P2, 120.66 W
1, 2026/09/15 09:46:38.954, 4, 16, 2820 MHz, 10251 MHz, P2, 109.61 W
0, 2026/09/15 09:46:39.154, 4, 16, 2835 MHz, 10251 MHz, P2, 120.66 W
1, 2026/09/15 09:46:39.154, 4, 16, 2820 MHz, 10251 MHz, P2, 109.61 W
0, 2026/09/15 09:46:39.355, 4, 16, 2835 MHz, 10251 MHz, P2, 120.21 W
1, 2026/09/15 09:46:39.355, 4, 16, 2820 MHz, 10251 MHz, P2, 109.50 W
0, 2026/09/15 09:46:39.555, 4, 16, 2835 MHz, 10251 MHz, P2, 120.21 W
1, 2026/09/15 09:46:39.555, 4, 16, 2820 MHz, 10251 MHz, P2, 109.50 W
0, 2026/09/15 09:46:39.755, 4, 16, 2835 MHz, 10251 MHz, P2, 120.21 W
1, 2026/09/15 09:46:39.755, 4, 16, 2820 MHz, 10251 MHz, P2, 109.50 W
0, 2026/09/15 09:46:39.956, 4, 16, 2835 MHz, 10251 MHz, P2, 117.51 W
1, 2026/09/15 09:46:39.956, 4, 16, 2820 MHz, 10251 MHz, P2, 107.28 W
0, 2026/09/15 09:46:40.156, 4, 16, 2835 MHz, 10251 MHz, P2, 117.51 W
1, 2026/09/15 09:46:40.156, 4, 16, 2820 MHz, 10251 MHz, P2, 107.28 W
0, 2026/09/15 09:46:40.356, 4, 16, 2835 MHz, 10251 MHz, P2, 113.56 W
1, 2026/09/15 09:46:40.356, 4, 16, 2820 MHz, 10251 MHz, P2, 103.86 W
0, 2026/09/15 09:46:40.557, 4, 16, 2835 MHz, 10251 MHz, P2, 113.56 W
1, 2026/09/15 09:46:40.557, 4, 16, 2820 MHz, 10251 MHz, P2, 103.86 W
0, 2026/09/15 09:46:40.757, 4, 16, 2835 MHz, 10251 MHz, P2, 113.56 W
1, 2026/09/15 09:46:40.757, 4, 16, 2820 MHz, 10251 MHz, P2, 103.86 W
0, 2026/09/15 09:46:40.957, 4, 16, 2835 MHz, 10501 MHz, P0, 100.45 W
1, 2026/09/15 09:46:40.958, 4, 16, 2820 MHz, 10501 MHz, P0, 92.83 W
0, 2026/09/15 09:46:41.158, 4, 16, 2835 MHz, 10501 MHz, P0, 100.45 W
1, 2026/09/15 09:46:41.158, 4, 16, 2820 MHz, 10501 MHz, P0, 92.83 W
