# provenance: env=sys sha=717b683182 cmd="nvidia-smi --query-gpu=index,timestamp,pcie.link.gen.current,pcie.link.width.current,clocks.sm,clocks.mem,pstate,power.draw --format=csv -lms 200" date=2026-09-15T09:45:09+00:00 gpu="RTX 4090 x2" driver=610.57.04 exp=EXP-020-appendixC dtype=half round=52
index, timestamp, pcie.link.gen.current, pcie.link.width.current, clocks.current.sm [MHz], clocks.current.memory [MHz], pstate, power.draw [W]
0, 2026/09/15 09:45:09.550, 4, 16, 2835 MHz, 10501 MHz, P0, 88.43 W
1, 2026/09/15 09:45:09.556, 4, 16, 2820 MHz, 10501 MHz, P0, 82.73 W
0, 2026/09/15 09:45:09.761, 4, 16, 2835 MHz, 10501 MHz, P0, 88.43 W
1, 2026/09/15 09:45:09.761, 4, 16, 2820 MHz, 10501 MHz, P0, 82.73 W
0, 2026/09/15 09:45:09.961, 4, 16, 2835 MHz, 10501 MHz, P0, 87.98 W
1, 2026/09/15 09:45:09.961, 4, 16, 2820 MHz, 10501 MHz, P0, 79.19 W
0, 2026/09/15 09:45:10.161, 4, 16, 2835 MHz, 10501 MHz, P0, 87.98 W
1, 2026/09/15 09:45:10.174, 4, 16, 2820 MHz, 10501 MHz, P0, 79.19 W
0, 2026/09/15 09:45:10.374, 4, 16, 2520 MHz, 10251 MHz, P2, 78.46 W
1, 2026/09/15 09:45:10.375, 4, 16, 2520 MHz, 10501 MHz, P0, 73.46 W
0, 2026/09/15 09:45:10.575, 4, 16, 2520 MHz, 10251 MHz, P2, 78.46 W
1, 2026/09/15 09:45:10.575, 4, 16, 2520 MHz, 10501 MHz, P0, 73.46 W
0, 2026/09/15 09:45:10.775, 4, 16, 2520 MHz, 10251 MHz, P2, 78.46 W
1, 2026/09/15 09:45:10.776, 4, 16, 2520 MHz, 10501 MHz, P0, 73.46 W
0, 2026/09/15 09:45:10.976, 4, 16, 2520 MHz, 10251 MHz, P2, 71.44 W
1, 2026/09/15 09:45:10.976, 4, 16, 2520 MHz, 10251 MHz, P2, 64.07 W
0, 2026/09/15 09:45:11.177, 4, 16, 2520 MHz, 10251 MHz, P2, 71.44 W
1, 2026/09/15 09:45:11.177, 4, 16, 2520 MHz, 10251 MHz, P2, 64.07 W
0, 2026/09/15 09:45:11.377, 4, 16, 2835 MHz, 10251 MHz, P2, 71.05 W
1, 2026/09/15 09:45:11.378, 4, 16, 2820 MHz, 10251 MHz, P2, 61.23 W
0, 2026/09/15 09:45:11.578, 4, 16, 2835 MHz, 10251 MHz, P2, 71.05 W
1, 2026/09/15 09:45:11.578, 4, 16, 2820 MHz, 10251 MHz, P2, 61.23 W
0, 2026/09/15 09:45:11.778, 4, 16, 2835 MHz, 10251 MHz, P2, 71.05 W
1, 2026/09/15 09:45:11.779, 4, 16, 2820 MHz, 10251 MHz, P2, 61.23 W
0, 2026/09/15 09:45:11.979, 4, 16, 2835 MHz, 10251 MHz, P2, 89.73 W
1, 2026/09/15 09:45:11.979, 4, 16, 2820 MHz, 10251 MHz, P2, 82.05 W
0, 2026/09/15 09:45:12.179, 4, 16, 2835 MHz, 10251 MHz, P2, 89.73 W
1, 2026/09/15 09:45:12.180, 4, 16, 2820 MHz, 10251 MHz, P2, 82.05 W
0, 2026/09/15 09:45:12.380, 4, 16, 2835 MHz, 10251 MHz, P2, 108.62 W
1, 2026/09/15 09:45:12.380, 4, 16, 2820 MHz, 10251 MHz, P2, 98.43 W
0, 2026/09/15 09:45:12.580, 4, 16, 2835 MHz, 10251 MHz, P2, 108.62 W
1, 2026/09/15 09:45:12.581, 4, 16, 2820 MHz, 10251 MHz, P2, 98.43 W
0, 2026/09/15 09:45:12.781, 4, 16, 2835 MHz, 10251 MHz, P2, 108.62 W
1, 2026/09/15 09:45:12.781, 4, 16, 2820 MHz, 10251 MHz, P2, 98.43 W
0, 2026/09/15 09:45:12.981, 4, 16, 2835 MHz, 10251 MHz, P2, 112.76 W
1, 2026/09/15 09:45:12.982, 4, 16, 2820 MHz, 10251 MHz, P2, 104.17 W
0, 2026/09/15 09:45:13.182, 4, 16, 2835 MHz, 10251 MHz, P2, 112.76 W
1, 2026/09/15 09:45:13.182, 4, 16, 2820 MHz, 10251 MHz, P2, 104.17 W
0, 2026/09/15 09:45:13.382, 4, 16, 2835 MHz, 10251 MHz, P2, 114.25 W
1, 2026/09/15 09:45:13.383, 4, 16, 2820 MHz, 10251 MHz, P2, 105.52 W
0, 2026/09/15 09:45:13.583, 4, 16, 2835 MHz, 10251 MHz, P2, 114.25 W
1, 2026/09/15 09:45:13.583, 4, 16, 2820 MHz, 10251 MHz, P2, 105.52 W
0, 2026/09/15 09:45:13.784, 4, 16, 2835 MHz, 10251 MHz, P2, 114.25 W
1, 2026/09/15 09:45:13.784, 4, 16, 2820 MHz, 10251 MHz, P2, 105.52 W
0, 2026/09/15 09:45:13.984, 4, 16, 2835 MHz, 10251 MHz, P2, 114.95 W
1, 2026/09/15 09:45:13.984, 4, 16, 2820 MHz, 10251 MHz, P2, 106.00 W
0, 2026/09/15 09:45:14.185, 4, 16, 2835 MHz, 10251 MHz, P2, 114.95 W
1, 2026/09/15 09:45:14.185, 4, 16, 2820 MHz, 10251 MHz, P2, 106.00 W
0, 2026/09/15 09:45:14.385, 4, 16, 2835 MHz, 10251 MHz, P2, 114.94 W
1, 2026/09/15 09:45:14.385, 4, 16, 2820 MHz, 10251 MHz, P2, 105.86 W
0, 2026/09/15 09:45:14.586, 4, 16, 2835 MHz, 10251 MHz, P2, 114.94 W
1, 2026/09/15 09:45:14.586, 4, 16, 2820 MHz, 10251 MHz, P2, 105.86 W
0, 2026/09/15 09:45:14.786, 4, 16, 2835 MHz, 10251 MHz, P2, 114.94 W
1, 2026/09/15 09:45:14.786, 4, 16, 2820 MHz, 10251 MHz, P2, 106.30 W
0, 2026/09/15 09:45:14.987, 4, 16, 2835 MHz, 10251 MHz, P2, 115.35 W
1, 2026/09/15 09:45:14.987, 4, 16, 2820 MHz, 10251 MHz, P2, 106.30 W
0, 2026/09/15 09:45:15.187, 4, 16, 2835 MHz, 10251 MHz, P2, 115.35 W
1, 2026/09/15 09:45:15.188, 4, 16, 2820 MHz, 10251 MHz, P2, 106.30 W
0, 2026/09/15 09:45:15.388, 4, 16, 2835 MHz, 10251 MHz, P2, 114.99 W
1, 2026/09/15 09:45:15.388, 4, 16, 2820 MHz, 10251 MHz, P2, 106.21 W
0, 2026/09/15 09:45:15.588, 4, 16, 2835 MHz, 10251 MHz, P2, 114.99 W
1, 2026/09/15 09:45:15.589, 4, 16, 2820 MHz, 10251 MHz, P2, 106.21 W
0, 2026/09/15 09:45:15.789, 4, 16, 2835 MHz, 10251 MHz, P2, 114.99 W
1, 2026/09/15 09:45:15.789, 4, 16, 2820 MHz, 10251 MHz, P2, 106.74 W
0, 2026/09/15 09:45:15.989, 4, 16, 2835 MHz, 10251 MHz, P2, 115.82 W
1, 2026/09/15 09:45:15.989, 4, 16, 2820 MHz, 10251 MHz, P2, 106.74 W
0, 2026/09/15 09:45:16.190, 4, 16, 2835 MHz, 10251 MHz, P2, 115.82 W
1, 2026/09/15 09:45:16.190, 4, 16, 2820 MHz, 10251 MHz, P2, 106.74 W
0, 2026/09/15 09:45:16.390, 4, 16, 2835 MHz, 10251 MHz, P2, 116.17 W
1, 2026/09/15 09:45:16.390, 4, 16, 2820 MHz, 10251 MHz, P2, 106.75 W
0, 2026/09/15 09:45:16.590, 4, 16, 2835 MHz, 10251 MHz, P2, 116.17 W
1, 2026/09/15 09:45:16.591, 4, 16, 2820 MHz, 10251 MHz, P2, 106.75 W
0, 2026/09/15 09:45:16.791, 4, 16, 2835 MHz, 10251 MHz, P2, 116.17 W
1, 2026/09/15 09:45:16.791, 4, 16, 2820 MHz, 10251 MHz, P2, 106.93 W
0, 2026/09/15 09:45:16.991, 4, 16, 2835 MHz, 10251 MHz, P2, 116.02 W
1, 2026/09/15 09:45:16.991, 4, 16, 2820 MHz, 10251 MHz, P2, 106.93 W
0, 2026/09/15 09:45:17.192, 4, 16, 2835 MHz, 10251 MHz, P2, 116.02 W
1, 2026/09/15 09:45:17.192, 4, 16, 2820 MHz, 10251 MHz, P2, 106.93 W
0, 2026/09/15 09:45:17.392, 4, 16, 2835 MHz, 10251 MHz, P2, 115.27 W
