# provenance: env=sys sha=717b683182 cmd="nvidia-smi --query-gpu=index,timestamp,pcie.link.gen.current,pcie.link.width.current,clocks.sm,utilization.gpu,memory.used --format=csv -lms 200" date=2026-09-15T03:39:18+00:00 gpu="RTX 4090 x2" driver=610.57.04 exp=EXP-020-appendixB tag=under_vllm_load_r2
index, timestamp, pcie.link.gen.current, pcie.link.width.current, clocks.current.sm [MHz], utilization.gpu [%], memory.used [MiB]
0, 2026/09/15 03:39:18.352, 4, 16, 2520 MHz, 0 %, 23620 MiB
1, 2026/09/15 03:39:18.358, 4, 16, 2520 MHz, 0 %, 23620 MiB
0, 2026/09/15 03:39:18.561, 4, 16, 2520 MHz, 0 %, 23620 MiB
1, 2026/09/15 03:39:18.561, 4, 16, 2520 MHz, 0 %, 23620 MiB
0, 2026/09/15 03:39:18.762, 4, 16, 2520 MHz, 0 %, 23620 MiB
1, 2026/09/15 03:39:18.762, 4, 16, 2520 MHz, 0 %, 23620 MiB
0, 2026/09/15 03:39:18.962, 4, 16, 2520 MHz, 0 %, 23711 MiB
1, 2026/09/15 03:39:18.962, 4, 16, 2520 MHz, 0 %, 23620 MiB
0, 2026/09/15 03:39:19.163, 4, 16, 2520 MHz, 0 %, 24011 MiB
1, 2026/09/15 03:39:19.163, 4, 16, 2520 MHz, 1 %, 24011 MiB
0, 2026/09/15 03:39:19.363, 4, 16, 2520 MHz, 0 %, 23711 MiB
1, 2026/09/15 03:39:19.363, 4, 16, 2520 MHz, 1 %, 24041 MiB
0, 2026/09/15 03:39:19.563, 4, 16, 2520 MHz, 0 %, 23753 MiB
1, 2026/09/15 03:39:19.564, 4, 16, 2520 MHz, 1 %, 23717 MiB
0, 2026/09/15 03:39:19.764, 4, 16, 2520 MHz, 8 %, 23713 MiB
1, 2026/09/15 03:39:19.764, 4, 16, 2520 MHz, 8 %, 23731 MiB
0, 2026/09/15 03:39:19.964, 4, 16, 2520 MHz, 8 %, 23711 MiB
1, 2026/09/15 03:39:19.965, 4, 16, 2520 MHz, 8 %, 23747 MiB
0, 2026/09/15 03:39:20.165, 4, 16, 2520 MHz, 8 %, 23711 MiB
1, 2026/09/15 03:39:20.165, 4, 16, 2520 MHz, 8 %, 23757 MiB
0, 2026/09/15 03:39:20.365, 4, 16, 2520 MHz, 8 %, 23713 MiB
1, 2026/09/15 03:39:20.366, 4, 16, 2520 MHz, 8 %, 23759 MiB
0, 2026/09/15 03:39:20.566, 4, 16, 2520 MHz, 8 %, 23711 MiB
1, 2026/09/15 03:39:20.566, 4, 16, 2520 MHz, 8 %, 23731 MiB
0, 2026/09/15 03:39:20.766, 4, 16, 2520 MHz, 7 %, 23713 MiB
1, 2026/09/15 03:39:20.766, 4, 16, 2520 MHz, 3 %, 23731 MiB
0, 2026/09/15 03:39:20.967, 4, 16, 2520 MHz, 7 %, 23711 MiB
1, 2026/09/15 03:39:20.967, 4, 16, 2520 MHz, 3 %, 23741 MiB
0, 2026/09/15 03:39:21.167, 4, 16, 2520 MHz, 7 %, 23747 MiB
1, 2026/09/15 03:39:21.167, 4, 16, 2520 MHz, 8 %, 23711 MiB
0, 2026/09/15 03:39:21.367, 4, 16, 2520 MHz, 65 %, 23753 MiB
