# provenance: env=sys sha=717b683182 cmd="nvidia-smi --query-gpu=index,timestamp,pcie.link.gen.current,pcie.link.width.current,clocks.sm,clocks.mem,pstate,power.draw --format=csv -lms 200" date=2026-09-15T09:40:56+00:00 gpu="RTX 4090 x2" driver=610.57.04 exp=EXP-020-appendixC dtype=half round=28
index, timestamp, pcie.link.gen.current, pcie.link.width.current, clocks.current.sm [MHz], clocks.current.memory [MHz], pstate, power.draw [W]
0, 2026/09/15 09:40:56.834, 4, 16, 2835 MHz, 10501 MHz, P0, 86.49 W
1, 2026/09/15 09:40:56.842, 4, 16, 2820 MHz, 10501 MHz, P0, 80.66 W
0, 2026/09/15 09:40:57.047, 4, 16, 2835 MHz, 10501 MHz, P0, 86.49 W
1, 2026/09/15 09:40:57.047, 4, 16, 2820 MHz, 10501 MHz, P0, 80.66 W
0, 2026/09/15 09:40:57.247, 4, 16, 2835 MHz, 10501 MHz, P0, 86.49 W
1, 2026/09/15 09:40:57.247, 4, 16, 2820 MHz, 10501 MHz, P0, 80.66 W
0, 2026/09/15 09:40:57.448, 4, 16, 2835 MHz, 10501 MHz, P0, 86.30 W
1, 2026/09/15 09:40:57.462, 4, 16, 2820 MHz, 10501 MHz, P0, 79.17 W
0, 2026/09/15 09:40:57.663, 4, 16, 2835 MHz, 10501 MHz, P0, 86.30 W
1, 2026/09/15 09:40:57.663, 4, 16, 2820 MHz, 10501 MHz, P0, 79.17 W
0, 2026/09/15 09:40:57.864, 4, 16, 2520 MHz, 10251 MHz, P2, 76.50 W
1, 2026/09/15 09:40:57.864, 4, 16, 2520 MHz, 10251 MHz, P2, 63.94 W
0, 2026/09/15 09:40:58.064, 4, 16, 2520 MHz, 10251 MHz, P2, 76.50 W
1, 2026/09/15 09:40:58.065, 4, 16, 2520 MHz, 10251 MHz, P2, 63.94 W
0, 2026/09/15 09:40:58.265, 4, 16, 2520 MHz, 10251 MHz, P2, 76.50 W
1, 2026/09/15 09:40:58.265, 4, 16, 2520 MHz, 10251 MHz, P2, 60.37 W
0, 2026/09/15 09:40:58.465, 4, 16, 2520 MHz, 10251 MHz, P2, 71.33 W
1, 2026/09/15 09:40:58.466, 4, 16, 2520 MHz, 10251 MHz, P2, 60.37 W
0, 2026/09/15 09:40:58.666, 4, 16, 2520 MHz, 10251 MHz, P2, 71.33 W
1, 2026/09/15 09:40:58.666, 4, 16, 2520 MHz, 10251 MHz, P2, 60.37 W
0, 2026/09/15 09:40:58.866, 4, 16, 2835 MHz, 10251 MHz, P2, 76.86 W
1, 2026/09/15 09:40:58.866, 4, 16, 2820 MHz, 10251 MHz, P2, 71.00 W
0, 2026/09/15 09:40:59.066, 4, 16, 2835 MHz, 10251 MHz, P2, 76.86 W
1, 2026/09/15 09:40:59.067, 4, 16, 2820 MHz, 10251 MHz, P2, 71.00 W
0, 2026/09/15 09:40:59.267, 4, 16, 2835 MHz, 10251 MHz, P2, 76.86 W
1, 2026/09/15 09:40:59.267, 4, 16, 2820 MHz, 10251 MHz, P2, 87.22 W
0, 2026/09/15 09:40:59.467, 4, 16, 2835 MHz, 10251 MHz, P2, 96.27 W
1, 2026/09/15 09:40:59.467, 4, 16, 2820 MHz, 10251 MHz, P2, 87.22 W
0, 2026/09/15 09:40:59.668, 4, 16, 2835 MHz, 10251 MHz, P2, 96.27 W
1, 2026/09/15 09:40:59.668, 4, 16, 2820 MHz, 10251 MHz, P2, 87.22 W
0, 2026/09/15 09:40:59.868, 4, 16, 2835 MHz, 10251 MHz, P2, 109.79 W
1, 2026/09/15 09:40:59.868, 4, 16, 2820 MHz, 10251 MHz, P2, 101.54 W
0, 2026/09/15 09:41:00.068, 4, 16, 2835 MHz, 10251 MHz, P2, 109.79 W
1, 2026/09/15 09:41:00.068, 4, 16, 2820 MHz, 10251 MHz, P2, 101.54 W
0, 2026/09/15 09:41:00.269, 4, 16, 2835 MHz, 10251 MHz, P2, 109.79 W
1, 2026/09/15 09:41:00.269, 4, 16, 2820 MHz, 10251 MHz, P2, 105.16 W
0, 2026/09/15 09:41:00.469, 4, 16, 2835 MHz, 10251 MHz, P2, 113.27 W
1, 2026/09/15 09:41:00.469, 4, 16, 2820 MHz, 10251 MHz, P2, 105.16 W
0, 2026/09/15 09:41:00.669, 4, 16, 2835 MHz, 10251 MHz, P2, 113.27 W
1, 2026/09/15 09:41:00.670, 4, 16, 2820 MHz, 10251 MHz, P2, 105.16 W
0, 2026/09/15 09:41:00.870, 4, 16, 2835 MHz, 10251 MHz, P2, 114.78 W
1, 2026/09/15 09:41:00.870, 4, 16, 2820 MHz, 10251 MHz, P2, 106.54 W
0, 2026/09/15 09:41:01.070, 4, 16, 2835 MHz, 10251 MHz, P2, 114.78 W
1, 2026/09/15 09:41:01.071, 4, 16, 2820 MHz, 10251 MHz, P2, 106.54 W
0, 2026/09/15 09:41:01.271, 4, 16, 2835 MHz, 10251 MHz, P2, 114.78 W
1, 2026/09/15 09:41:01.271, 4, 16, 2820 MHz, 10251 MHz, P2, 106.65 W
0, 2026/09/15 09:41:01.471, 4, 16, 2835 MHz, 10251 MHz, P2, 116.46 W
1, 2026/09/15 09:41:01.471, 4, 16, 2820 MHz, 10251 MHz, P2, 106.65 W
0, 2026/09/15 09:41:01.671, 4, 16, 2835 MHz, 10251 MHz, P2, 116.46 W
1, 2026/09/15 09:41:01.672, 4, 16, 2820 MHz, 10251 MHz, P2, 106.65 W
0, 2026/09/15 09:41:01.872, 4, 16, 2835 MHz, 10251 MHz, P2, 116.21 W
1, 2026/09/15 09:41:01.872, 4, 16, 2820 MHz, 10251 MHz, P2, 107.29 W
0, 2026/09/15 09:41:02.072, 4, 16, 2835 MHz, 10251 MHz, P2, 116.21 W
1, 2026/09/15 09:41:02.072, 4, 16, 2820 MHz, 10251 MHz, P2, 107.29 W
0, 2026/09/15 09:41:02.273, 4, 16, 2835 MHz, 10251 MHz, P2, 116.21 W
1, 2026/09/15 09:41:02.273, 4, 16, 2820 MHz, 10251 MHz, P2, 108.51 W
0, 2026/09/15 09:41:02.473, 4, 16, 2835 MHz, 10251 MHz, P2, 116.86 W
1, 2026/09/15 09:41:02.473, 4, 16, 2820 MHz, 10251 MHz, P2, 108.51 W
0, 2026/09/15 09:41:02.673, 4, 16, 2835 MHz, 10251 MHz, P2, 116.86 W
1, 2026/09/15 09:41:02.674, 4, 16, 2820 MHz, 10251 MHz, P2, 108.51 W
0, 2026/09/15 09:41:02.874, 4, 16, 2835 MHz, 10251 MHz, P2, 116.55 W
1, 2026/09/15 09:41:02.874, 4, 16, 2820 MHz, 10251 MHz, P2, 108.14 W
0, 2026/09/15 09:41:03.074, 4, 16, 2835 MHz, 10251 MHz, P2, 116.55 W
1, 2026/09/15 09:41:03.074, 4, 16, 2820 MHz, 10251 MHz, P2, 108.14 W
0, 2026/09/15 09:41:03.275, 4, 16, 2835 MHz, 10251 MHz, P2, 116.55 W
1, 2026/09/15 09:41:03.275, 4, 16, 2820 MHz, 10251 MHz, P2, 108.15 W
0, 2026/09/15 09:41:03.475, 4, 16, 2835 MHz, 10251 MHz, P2, 115.61 W
1, 2026/09/15 09:41:03.475, 4, 16, 2820 MHz, 10251 MHz, P2, 108.15 W
0, 2026/09/15 09:41:03.675, 4, 16, 2835 MHz, 10251 MHz, P2, 115.61 W
1, 2026/09/15 09:41:03.676, 4, 16, 2820 MHz, 10251 MHz, P2, 108.15 W
0, 2026/09/15 09:41:03.876, 4, 16, 2835 MHz, 10251 MHz, P2, 117.12 W
1, 2026/09/15 09:41:03.876, 4, 16, 2820 MHz, 10251 MHz, P2, 107.78 W
0, 2026/09/15 09:41:04.076, 4, 16, 2835 MHz, 10251 MHz, P2, 117.12 W
