# provenance: env=sys sha=717b683182 cmd="nvidia-smi --query-gpu=index,timestamp,pcie.link.gen.current,pcie.link.width.current,clocks.sm,utilization.gpu,memory.used --format=csv -lms 200" date=2026-09-15T03:36:03+00:00 gpu="RTX 4090 x2" driver=610.57.04 exp=EXP-020-appendixB tag=under_vllm_load_r2
index, timestamp, pcie.link.gen.current, pcie.link.width.current, clocks.current.sm [MHz], utilization.gpu [%], memory.used [MiB]
0, 2026/09/15 03:36:10.384, 4, 16, 2805 MHz, 100 %, 23711 MiB
1, 2026/09/15 03:36:10.385, 4, 16, 2595 MHz, 100 %, 23731 MiB
0, 2026/09/15 03:36:10.585, 4, 16, 2805 MHz, 100 %, 23711 MiB
1, 2026/09/15 03:36:10.585, 4, 16, 2595 MHz, 100 %, 23751 MiB
0, 2026/09/15 03:36:10.785, 4, 16, 2805 MHz, 100 %, 23721 MiB
1, 2026/09/15 03:36:10.786, 4, 16, 2805 MHz, 100 %, 23711 MiB
0, 2026/09/15 03:36:10.986, 4, 16, 2805 MHz, 100 %, 23743 MiB
1, 2026/09/15 03:36:10.986, 4, 16, 2805 MHz, 100 %, 23711 MiB
0, 2026/09/15 03:36:11.186, 4, 16, 2805 MHz, 100 %, 23757 MiB
1, 2026/09/15 03:36:11.187, 4, 16, 2805 MHz, 100 %, 23711 MiB
0, 2026/09/15 03:36:11.387, 4, 16, 2805 MHz, 100 %, 23711 MiB
1, 2026/09/15 03:36:11.387, 4, 16, 2805 MHz, 100 %, 23731 MiB
0, 2026/09/15 03:36:11.587, 4, 16, 2805 MHz, 100 %, 23711 MiB
1, 2026/09/15 03:36:11.588, 4, 16, 2805 MHz, 100 %, 23751 MiB
0, 2026/09/15 03:36:11.788, 4, 16, 2805 MHz, 100 %, 23721 MiB
1, 2026/09/15 03:36:11.788, 4, 16, 2805 MHz, 100 %, 23711 MiB
0, 2026/09/15 03:36:11.988, 4, 16, 2805 MHz, 100 %, 23743 MiB
1, 2026/09/15 03:36:11.989, 4, 16, 2805 MHz, 100 %, 23711 MiB
0, 2026/09/15 03:36:12.189, 4, 16, 2805 MHz, 100 %, 23759 MiB
1, 2026/09/15 03:36:12.189, 4, 16, 2805 MHz, 100 %, 23711 MiB
0, 2026/09/15 03:36:12.389, 4, 16, 2805 MHz, 100 %, 23711 MiB
1, 2026/09/15 03:36:12.390, 4, 16, 2805 MHz, 100 %, 23733 MiB
0, 2026/09/15 03:36:12.590, 4, 16, 2805 MHz, 100 %, 23711 MiB
1, 2026/09/15 03:36:12.590, 4, 16, 2805 MHz, 100 %, 23753 MiB
0, 2026/09/15 03:36:12.791, 4, 16, 2520 MHz, 100 %, 23723 MiB
1, 2026/09/15 03:36:12.791, 4, 16, 2565 MHz, 100 %, 23711 MiB
0, 2026/09/15 03:36:12.991, 4, 16, 2520 MHz, 100 %, 23747 MiB
1, 2026/09/15 03:36:12.991, 4, 16, 2565 MHz, 100 %, 23711 MiB
0, 2026/09/15 03:36:13.192, 4, 16, 2520 MHz, 100 %, 23759 MiB
1, 2026/09/15 03:36:13.192, 4, 16, 2490 MHz, 100 %, 23713 MiB
0, 2026/09/15 03:36:13.392, 4, 16, 2445 MHz, 100 %, 23711 MiB
1, 2026/09/15 03:36:13.393, 4, 16, 2490 MHz, 100 %, 23735 MiB
0, 2026/09/15 03:36:13.593, 4, 16, 2445 MHz, 100 %, 23711 MiB
1, 2026/09/15 03:36:13.593, 4, 16, 2490 MHz, 100 %, 23753 MiB
0, 2026/09/15 03:36:13.794, 4, 16, 2385 MHz, 100 %, 23723 MiB
1, 2026/09/15 03:36:13.794, 4, 16, 2475 MHz, 100 %, 23711 MiB
0, 2026/09/15 03:36:13.994, 4, 16, 2385 MHz, 100 %, 23745 MiB
1, 2026/09/15 03:36:13.994, 4, 16, 2475 MHz, 100 %, 23711 MiB
0, 2026/09/15 03:36:14.195, 4, 16, 2385 MHz, 100 %, 23759 MiB
1, 2026/09/15 03:36:14.195, 4, 16, 2445 MHz, 100 %, 23713 MiB
0, 2026/09/15 03:36:14.395, 4, 16, 2445 MHz, 100 %, 23711 MiB
1, 2026/09/15 03:36:14.396, 4, 16, 2445 MHz, 100 %, 23733 MiB
0, 2026/09/15 03:36:14.596, 4, 16, 2445 MHz, 100 %, 23711 MiB
1, 2026/09/15 03:36:14.596, 4, 16, 2445 MHz, 100 %, 23753 MiB
0, 2026/09/15 03:36:14.796, 4, 16, 2385 MHz, 100 %, 23721 MiB
1, 2026/09/15 03:36:14.797, 4, 16, 2490 MHz, 100 %, 23711 MiB
0, 2026/09/15 03:36:14.997, 4, 16, 2385 MHz, 100 %, 23743 MiB
1, 2026/09/15 03:36:14.997, 4, 16, 2490 MHz, 100 %, 23711 MiB
0, 2026/09/15 03:36:15.198, 4, 16, 2385 MHz, 100 %, 23759 MiB
1, 2026/09/15 03:36:15.198, 4, 16, 2400 MHz, 100 %, 23711 MiB
0, 2026/09/15 03:36:15.398, 4, 16, 2460 MHz, 100 %, 23711 MiB
1, 2026/09/15 03:36:15.398, 4, 16, 2400 MHz, 100 %, 23733 MiB
0, 2026/09/15 03:36:15.599, 4, 16, 2460 MHz, 100 %, 23711 MiB
1, 2026/09/15 03:36:15.599, 4, 16, 2400 MHz, 100 %, 23753 MiB
0, 2026/09/15 03:36:15.799, 4, 16, 2355 MHz, 100 %, 23721 MiB
1, 2026/09/15 03:36:15.800, 4, 16, 2505 MHz, 100 %, 23711 MiB
0, 2026/09/15 03:36:16.000, 4, 16, 2355 MHz, 100 %, 23743 MiB
1, 2026/09/15 03:36:16.000, 4, 16, 2505 MHz, 100 %, 23711 MiB
0, 2026/09/15 03:36:16.200, 4, 16, 2355 MHz, 100 %, 23759 MiB
1, 2026/09/15 03:36:16.200, 4, 16, 2805 MHz, 100 %, 23711 MiB
0, 2026/09/15 03:36:16.401, 4, 16, 2805 MHz, 100 %, 23711 MiB
1, 2026/09/15 03:36:16.401, 4, 16, 2805 MHz, 100 %, 23733 MiB
0, 2026/09/15 03:36:16.601, 4, 16, 2805 MHz, 100 %, 23711 MiB
1, 2026/09/15 03:36:16.602, 4, 16, 2805 MHz, 100 %, 23753 MiB
0, 2026/09/15 03:36:16.802, 4, 16, 2805 MHz, 100 %, 23721 MiB
1, 2026/09/15 03:36:16.803, 4, 16, 2805 MHz, 100 %, 23711 MiB
0, 2026/09/15 03:36:17.003, 4, 16, 2805 MHz, 100 %, 23743 MiB
1, 2026/09/15 03:36:17.003, 4, 16, 2805 MHz, 100 %, 23711 MiB
0, 2026/09/15 03:36:17.203, 4, 16, 2805 MHz, 100 %, 23759 MiB
1, 2026/09/15 03:36:17.204, 4, 16, 2805 MHz, 100 %, 23711 MiB
0, 2026/09/15 03:36:17.404, 4, 16, 2805 MHz, 100 %, 23711 MiB
1, 2026/09/15 03:36:17.404, 4, 16, 2805 MHz, 100 %, 23731 MiB
0, 2026/09/15 03:36:17.604, 4, 16, 2805 MHz, 100 %, 23711 MiB
1, 2026/09/15 03:36:17.605, 4, 16, 2805 MHz, 100 %, 23753 MiB
0, 2026/09/15 03:36:17.805, 4, 16, 2805 MHz, 100 %, 23721 MiB
1, 2026/09/15 03:36:17.805, 4, 16, 2805 MHz, 100 %, 23711 MiB
0, 2026/09/15 03:36:18.006, 4, 16, 2805 MHz, 100 %, 23745 MiB
1, 2026/09/15 03:36:18.006, 4, 16, 2805 MHz, 100 %, 23711 MiB
0, 2026/09/15 03:36:18.206, 4, 16, 2805 MHz, 100 %, 23753 MiB
1, 2026/09/15 03:36:18.207, 4, 16, 2805 MHz, 100 %, 23713 MiB
0, 2026/09/15 03:36:18.407, 4, 16, 2805 MHz, 100 %, 23711 MiB
1, 2026/09/15 03:36:18.408, 4, 16, 2805 MHz, 100 %, 23737 MiB
0, 2026/09/15 03:36:18.608, 4, 16, 2805 MHz, 100 %, 23711 MiB
1, 2026/09/15 03:36:18.609, 4, 16, 2805 MHz, 100 %, 23755 MiB
0, 2026/09/15 03:36:18.809, 4, 16, 2400 MHz, 100 %, 23725 MiB
1, 2026/09/15 03:36:18.809, 4, 16, 2595 MHz, 100 %, 23711 MiB
0, 2026/09/15 03:36:19.009, 4, 16, 2400 MHz, 100 %, 23747 MiB
1, 2026/09/15 03:36:19.010, 4, 16, 2595 MHz, 100 %, 23711 MiB
0, 2026/09/15 03:36:19.210, 4, 16, 2400 MHz, 100 %, 23753 MiB
1, 2026/09/15 03:36:19.211, 4, 16, 2445 MHz, 100 %, 23713 MiB
0, 2026/09/15 03:36:19.411, 4, 16, 2550 MHz, 100 %, 23711 MiB
1, 2026/09/15 03:36:19.411, 4, 16, 2445 MHz, 100 %, 23735 MiB
0, 2026/09/15 03:36:19.611, 4, 16, 2550 MHz, 100 %, 23711 MiB
1, 2026/09/15 03:36:19.612, 4, 16, 2445 MHz, 100 %, 23753 MiB
0, 2026/09/15 03:36:19.812, 4, 16, 2355 MHz, 100 %, 23723 MiB
1, 2026/09/15 03:36:19.812, 4, 16, 2550 MHz, 100 %, 23711 MiB
0, 2026/09/15 03:36:20.013, 4, 16, 2355 MHz, 100 %, 23745 MiB
1, 2026/09/15 03:36:20.013, 4, 16, 2550 MHz, 100 %, 23711 MiB
0, 2026/09/15 03:36:20.213, 4, 16, 2355 MHz, 100 %, 23759 MiB
