# provenance: env=sys sha=717b683182 cmd="nvidia-smi --query-gpu=index,timestamp,pcie.link.gen.current,pcie.link.width.current,clocks.sm,clocks.mem,pstate,power.draw --format=csv -lms 200" date=2026-09-15T02:52:40+00:00 gpu="RTX 4090 x2" driver=610.57.04 exp=EXP-020-appendixA dtype=half round=1
index, timestamp, pcie.link.gen.current, pcie.link.width.current, clocks.current.sm [MHz], clocks.current.memory [MHz], pstate, power.draw [W]
1, 2026/09/15 02:52:46.380, 4, 16, 2820 MHz, 10251 MHz, P2, 103.33 W
0, 2026/09/15 02:52:46.580, 4, 16, 2835 MHz, 10251 MHz, P2, 112.67 W
1, 2026/09/15 02:52:46.580, 4, 16, 2820 MHz, 10251 MHz, P2, 103.38 W
0, 2026/09/15 02:52:46.780, 4, 16, 2835 MHz, 10251 MHz, P2, 112.51 W
1, 2026/09/15 02:52:46.780, 4, 16, 2820 MHz, 10251 MHz, P2, 103.38 W
0, 2026/09/15 02:52:46.980, 4, 16, 2835 MHz, 10251 MHz, P2, 112.51 W
1, 2026/09/15 02:52:46.980, 4, 16, 2820 MHz, 10251 MHz, P2, 103.38 W
0, 2026/09/15 02:52:47.181, 4, 16, 2835 MHz, 10251 MHz, P2, 113.00 W
1, 2026/09/15 02:52:47.181, 4, 16, 2820 MHz, 10251 MHz, P2, 103.97 W
0, 2026/09/15 02:52:47.381, 4, 16, 2835 MHz, 10251 MHz, P2, 113.00 W
1, 2026/09/15 02:52:47.381, 4, 16, 2820 MHz, 10251 MHz, P2, 103.97 W
0, 2026/09/15 02:52:47.581, 4, 16, 2835 MHz, 10251 MHz, P2, 113.00 W
1, 2026/09/15 02:52:47.582, 4, 16, 2820 MHz, 10251 MHz, P2, 104.11 W
0, 2026/09/15 02:52:47.782, 4, 16, 2835 MHz, 10251 MHz, P2, 113.16 W
1, 2026/09/15 02:52:47.782, 4, 16, 2820 MHz, 10251 MHz, P2, 104.11 W
0, 2026/09/15 02:52:47.982, 4, 16, 2835 MHz, 10251 MHz, P2, 113.16 W
1, 2026/09/15 02:52:47.982, 4, 16, 2820 MHz, 10251 MHz, P2, 104.11 W
0, 2026/09/15 02:52:48.183, 4, 16, 2835 MHz, 10251 MHz, P2, 112.00 W
1, 2026/09/15 02:52:48.183, 4, 16, 2820 MHz, 10251 MHz, P2, 102.90 W
0, 2026/09/15 02:52:48.383, 4, 16, 2835 MHz, 10251 MHz, P2, 112.00 W
1, 2026/09/15 02:52:48.383, 4, 16, 2820 MHz, 10251 MHz, P2, 102.90 W
0, 2026/09/15 02:52:48.583, 4, 16, 2835 MHz, 10251 MHz, P2, 112.00 W
1, 2026/09/15 02:52:48.584, 4, 16, 2820 MHz, 10251 MHz, P2, 102.95 W
0, 2026/09/15 02:52:48.784, 4, 16, 2835 MHz, 10251 MHz, P2, 112.14 W
1, 2026/09/15 02:52:48.784, 4, 16, 2820 MHz, 10251 MHz, P2, 102.95 W
0, 2026/09/15 02:52:48.984, 4, 16, 2835 MHz, 10251 MHz, P2, 112.14 W
1, 2026/09/15 02:52:48.984, 4, 16, 2820 MHz, 10251 MHz, P2, 102.95 W
0, 2026/09/15 02:52:49.185, 4, 16, 2835 MHz, 10251 MHz, P2, 114.27 W
1, 2026/09/15 02:52:49.185, 4, 16, 2820 MHz, 10251 MHz, P2, 103.75 W
0, 2026/09/15 02:52:49.385, 4, 16, 2835 MHz, 10251 MHz, P2, 114.27 W
1, 2026/09/15 02:52:49.385, 4, 16, 2820 MHz, 10251 MHz, P2, 103.75 W
0, 2026/09/15 02:52:49.585, 4, 16, 2835 MHz, 10251 MHz, P2, 114.27 W
1, 2026/09/15 02:52:49.585, 4, 16, 2820 MHz, 10251 MHz, P2, 105.15 W
0, 2026/09/15 02:52:49.785, 4, 16, 2835 MHz, 10251 MHz, P2, 114.11 W
1, 2026/09/15 02:52:49.785, 4, 16, 2820 MHz, 10251 MHz, P2, 105.15 W
0, 2026/09/15 02:52:49.986, 4, 16, 2835 MHz, 10251 MHz, P2, 114.11 W
1, 2026/09/15 02:52:49.986, 4, 16, 2820 MHz, 10251 MHz, P2, 105.15 W
0, 2026/09/15 02:52:50.186, 4, 16, 2835 MHz, 10251 MHz, P2, 111.73 W
1, 2026/09/15 02:52:50.186, 4, 16, 2820 MHz, 10251 MHz, P2, 104.22 W
0, 2026/09/15 02:52:50.386, 4, 16, 2835 MHz, 10251 MHz, P2, 111.73 W
1, 2026/09/15 02:52:50.386, 4, 16, 2820 MHz, 10251 MHz, P2, 104.22 W
0, 2026/09/15 02:52:50.587, 4, 16, 2835 MHz, 10251 MHz, P2, 111.73 W
1, 2026/09/15 02:52:50.587, 4, 16, 2820 MHz, 10251 MHz, P2, 103.08 W
0, 2026/09/15 02:52:50.787, 4, 16, 2835 MHz, 10251 MHz, P2, 112.03 W
1, 2026/09/15 02:52:50.787, 4, 16, 2820 MHz, 10251 MHz, P2, 103.08 W
0, 2026/09/15 02:52:50.987, 4, 16, 2835 MHz, 10251 MHz, P2, 112.03 W
1, 2026/09/15 02:52:50.988, 4, 16, 2820 MHz, 10251 MHz, P2, 103.08 W
0, 2026/09/15 02:52:51.188, 4, 16, 2835 MHz, 10251 MHz, P2, 113.35 W
1, 2026/09/15 02:52:51.188, 4, 16, 2820 MHz, 10251 MHz, P2, 102.96 W
0, 2026/09/15 02:52:51.388, 4, 16, 2835 MHz, 10251 MHz, P2, 113.35 W
1, 2026/09/15 02:52:51.388, 4, 16, 2820 MHz, 10251 MHz, P2, 102.96 W
0, 2026/09/15 02:52:51.589, 4, 16, 2835 MHz, 10251 MHz, P2, 113.35 W
1, 2026/09/15 02:52:51.589, 4, 16, 2820 MHz, 10251 MHz, P2, 95.40 W
0, 2026/09/15 02:52:51.790, 4, 16, 2835 MHz, 10251 MHz, P2, 101.37 W
1, 2026/09/15 02:52:51.790, 4, 16, 2820 MHz, 10251 MHz, P2, 95.40 W
0, 2026/09/15 02:52:51.990, 4, 16, 2835 MHz, 10251 MHz, P2, 101.37 W
1, 2026/09/15 02:52:51.991, 4, 16, 2820 MHz, 10251 MHz, P2, 95.40 W
0, 2026/09/15 02:52:52.191, 4, 16, 2835 MHz, 10501 MHz, P0, 88.59 W
1, 2026/09/15 02:52:52.191, 4, 16, 2820 MHz, 10501 MHz, P0, 85.94 W
