# provenance: env=sys sha=717b683182 cmd="nvidia-smi --query-gpu=index,timestamp,pcie.link.gen.current,pcie.link.width.current,clocks.sm,utilization.gpu,memory.used --format=csv -lms 200" date=2026-09-15T03:35:34+00:00 gpu="RTX 4090 x2" driver=610.57.04 exp=EXP-020-appendixB tag=control_idle_r1
index, timestamp, pcie.link.gen.current, pcie.link.width.current, clocks.current.sm [MHz], utilization.gpu [%], memory.used [MiB]
0, 2026/09/15 03:35:34.300, 1, 16, 210 MHz, 0 %, 23620 MiB
1, 2026/09/15 03:35:34.306, 1, 16, 210 MHz, 0 %, 23620 MiB
0, 2026/09/15 03:35:34.510, 1, 16, 210 MHz, 0 %, 23620 MiB
1, 2026/09/15 03:35:34.511, 1, 16, 210 MHz, 0 %, 23620 MiB
0, 2026/09/15 03:35:34.711, 1, 16, 210 MHz, 0 %, 23620 MiB
1, 2026/09/15 03:35:34.711, 1, 16, 210 MHz, 0 %, 23620 MiB
0, 2026/09/15 03:35:34.911, 1, 16, 210 MHz, 0 %, 23649 MiB
1, 2026/09/15 03:35:34.911, 1, 16, 210 MHz, 0 %, 23620 MiB
0, 2026/09/15 03:35:35.112, 1, 16, 210 MHz, 0 %, 24011 MiB
1, 2026/09/15 03:35:35.112, 1, 16, 210 MHz, 0 %, 24011 MiB
0, 2026/09/15 03:35:35.312, 4, 16, 2520 MHz, 0 %, 23731 MiB
1, 2026/09/15 03:35:35.312, 4, 16, 2520 MHz, 1 %, 24015 MiB
0, 2026/09/15 03:35:35.513, 4, 16, 2520 MHz, 0 %, 23715 MiB
1, 2026/09/15 03:35:35.513, 4, 16, 2520 MHz, 1 %, 23757 MiB
0, 2026/09/15 03:35:35.713, 4, 16, 2520 MHz, 9 %, 23733 MiB
1, 2026/09/15 03:35:35.714, 4, 16, 2520 MHz, 8 %, 23711 MiB
0, 2026/09/15 03:35:35.914, 4, 16, 2520 MHz, 9 %, 23751 MiB
1, 2026/09/15 03:35:35.914, 4, 16, 2520 MHz, 8 %, 23711 MiB
0, 2026/09/15 03:35:36.115, 4, 16, 2520 MHz, 9 %, 23759 MiB
1, 2026/09/15 03:35:36.115, 4, 16, 2520 MHz, 8 %, 23713 MiB
0, 2026/09/15 03:35:36.315, 4, 16, 2520 MHz, 8 %, 23727 MiB
1, 2026/09/15 03:35:36.316, 4, 16, 2520 MHz, 8 %, 23727 MiB
0, 2026/09/15 03:35:36.516, 4, 16, 2520 MHz, 8 %, 23759 MiB
1, 2026/09/15 03:35:36.516, 4, 16, 2520 MHz, 8 %, 23713 MiB
0, 2026/09/15 03:35:36.716, 4, 16, 2520 MHz, 5 %, 23739 MiB
1, 2026/09/15 03:35:36.717, 4, 16, 2520 MHz, 3 %, 23711 MiB
0, 2026/09/15 03:35:36.918, 4, 16, 2520 MHz, 5 %, 23751 MiB
1, 2026/09/15 03:35:36.918, 4, 16, 2520 MHz, 3 %, 23711 MiB
0, 2026/09/15 03:35:37.118, 4, 16, 2520 MHz, 5 %, 23759 MiB
1, 2026/09/15 03:35:37.118, 4, 16, 2520 MHz, 3 %, 23713 MiB
0, 2026/09/15 03:35:37.319, 4, 16, 2520 MHz, 8 %, 23719 MiB
1, 2026/09/15 03:35:37.319, 4, 16, 2520 MHz, 9 %, 23729 MiB
0, 2026/09/15 03:35:37.519, 4, 16, 2520 MHz, 8 %, 23711 MiB
1, 2026/09/15 03:35:37.520, 4, 16, 2520 MHz, 9 %, 23749 MiB
0, 2026/09/15 03:35:37.720, 4, 16, 2520 MHz, 9 %, 23713 MiB
1, 2026/09/15 03:35:37.720, 4, 16, 2520 MHz, 9 %, 23759 MiB
0, 2026/09/15 03:35:37.920, 4, 16, 2520 MHz, 9 %, 23729 MiB
1, 2026/09/15 03:35:37.921, 4, 16, 2520 MHz, 9 %, 23717 MiB
0, 2026/09/15 03:35:38.121, 4, 16, 2520 MHz, 9 %, 23749 MiB
1, 2026/09/15 03:35:38.121, 4, 16, 2520 MHz, 9 %, 23711 MiB
0, 2026/09/15 03:35:38.322, 4, 16, 2520 MHz, 8 %, 23759 MiB
1, 2026/09/15 03:35:38.322, 4, 16, 2520 MHz, 8 %, 23713 MiB
0, 2026/09/15 03:35:38.522, 4, 16, 2520 MHz, 8 %, 23721 MiB
1, 2026/09/15 03:35:38.523, 4, 16, 2520 MHz, 8 %, 23729 MiB
0, 2026/09/15 03:35:38.723, 4, 16, 2520 MHz, 8 %, 23711 MiB
1, 2026/09/15 03:35:38.723, 4, 16, 2520 MHz, 9 %, 23749 MiB
0, 2026/09/15 03:35:38.924, 4, 16, 2520 MHz, 8 %, 23713 MiB
1, 2026/09/15 03:35:38.924, 4, 16, 2520 MHz, 9 %, 23759 MiB
0, 2026/09/15 03:35:39.124, 4, 16, 2520 MHz, 8 %, 24105 MiB
1, 2026/09/15 03:35:39.126, 4, 16, 2520 MHz, 9 %, 24041 MiB
0, 2026/09/15 03:35:39.327, 4, 16, 2520 MHz, 1 %, 23620 MiB
1, 2026/09/15 03:35:39.327, 4, 16, 2520 MHz, 8 %, 23620 MiB
0, 2026/09/15 03:35:39.527, 4, 16, 2520 MHz, 1 %, 23620 MiB
1, 2026/09/15 03:35:39.528, 4, 16, 2520 MHz, 8 %, 23620 MiB
0, 2026/09/15 03:35:39.728, 4, 16, 2520 MHz, 0 %, 23620 MiB
1, 2026/09/15 03:35:39.728, 4, 16, 2520 MHz, 0 %, 23620 MiB
