# provenance: env=sys sha=717b683182 cmd="nvidia-smi --query-gpu=index,timestamp,pcie.link.gen.current,pcie.link.width.current,clocks.sm,clocks.mem,pstate,power.draw --format=csv -lms 200" date=2026-09-15T02:53:48+00:00 gpu="RTX 4090 x2" driver=610.57.04 exp=EXP-020-appendixA dtype=half round=4
index, timestamp, pcie.link.gen.current, pcie.link.width.current, clocks.current.sm [MHz], clocks.current.memory [MHz], pstate, power.draw [W]
0, 2026/09/15 02:53:48.489, 4, 16, 2835 MHz, 10501 MHz, P0, 86.46 W
1, 2026/09/15 02:53:48.498, 4, 16, 2820 MHz, 10501 MHz, P0, 80.47 W
0, 2026/09/15 02:53:48.704, 4, 16, 2835 MHz, 10501 MHz, P0, 86.19 W
1, 2026/09/15 02:53:48.705, 4, 16, 2820 MHz, 10501 MHz, P0, 80.47 W
0, 2026/09/15 02:53:48.905, 4, 16, 2835 MHz, 10501 MHz, P0, 86.19 W
1, 2026/09/15 02:53:48.905, 4, 16, 2820 MHz, 10501 MHz, P0, 80.47 W
0, 2026/09/15 02:53:49.105, 4, 16, 780 MHz, 810 MHz, P5, 76.18 W
1, 2026/09/15 02:53:49.113, 4, 16, 2820 MHz, 10501 MHz, P0, 79.26 W
0, 2026/09/15 02:53:49.314, 2, 16, 780 MHz, 810 MHz, P5, 76.18 W
1, 2026/09/15 02:53:49.314, 4, 16, 2820 MHz, 10501 MHz, P0, 79.26 W
0, 2026/09/15 02:53:49.523, 2, 16, 780 MHz, 810 MHz, P5, 76.18 W
1, 2026/09/15 02:53:49.523, 4, 16, 2520 MHz, 10251 MHz, P2, 66.13 W
0, 2026/09/15 02:53:49.723, 4, 16, 2520 MHz, 10251 MHz, P2, 65.58 W
1, 2026/09/15 02:53:49.723, 4, 16, 2520 MHz, 10251 MHz, P2, 66.13 W
0, 2026/09/15 02:53:49.923, 4, 16, 2520 MHz, 10251 MHz, P2, 65.58 W
1, 2026/09/15 02:53:49.924, 4, 16, 2520 MHz, 10251 MHz, P2, 66.13 W
0, 2026/09/15 02:53:50.124, 4, 16, 2520 MHz, 10251 MHz, P2, 64.50 W
1, 2026/09/15 02:53:50.124, 4, 16, 2520 MHz, 10251 MHz, P2, 63.76 W
0, 2026/09/15 02:53:50.324, 4, 16, 2520 MHz, 10251 MHz, P2, 64.50 W
1, 2026/09/15 02:53:50.324, 4, 16, 2520 MHz, 10251 MHz, P2, 63.76 W
0, 2026/09/15 02:53:50.525, 4, 16, 2520 MHz, 10251 MHz, P2, 64.50 W
1, 2026/09/15 02:53:50.525, 4, 16, 2820 MHz, 10251 MHz, P2, 72.11 W
0, 2026/09/15 02:53:50.725, 4, 16, 2835 MHz, 10251 MHz, P2, 78.08 W
1, 2026/09/15 02:53:50.725, 4, 16, 2820 MHz, 10251 MHz, P2, 72.11 W
0, 2026/09/15 02:53:50.926, 4, 16, 2835 MHz, 10251 MHz, P2, 78.08 W
1, 2026/09/15 02:53:50.926, 4, 16, 2820 MHz, 10251 MHz, P2, 72.11 W
0, 2026/09/15 02:53:51.126, 4, 16, 2835 MHz, 10251 MHz, P2, 98.36 W
1, 2026/09/15 02:53:51.126, 4, 16, 2820 MHz, 10251 MHz, P2, 88.88 W
0, 2026/09/15 02:53:51.326, 4, 16, 2835 MHz, 10251 MHz, P2, 98.36 W
1, 2026/09/15 02:53:51.327, 4, 16, 2820 MHz, 10251 MHz, P2, 88.88 W
0, 2026/09/15 02:53:51.527, 4, 16, 2835 MHz, 10251 MHz, P2, 98.36 W
1, 2026/09/15 02:53:51.527, 4, 16, 2820 MHz, 10251 MHz, P2, 102.52 W
0, 2026/09/15 02:53:51.727, 4, 16, 2835 MHz, 10251 MHz, P2, 111.62 W
1, 2026/09/15 02:53:51.727, 4, 16, 2820 MHz, 10251 MHz, P2, 102.52 W
0, 2026/09/15 02:53:51.928, 4, 16, 2835 MHz, 10251 MHz, P2, 111.62 W
