# provenance: env=sys sha=717b683182 cmd="nvidia-smi --query-gpu=index,timestamp,pcie.link.gen.current,pcie.link.width.current,clocks.sm,clocks.mem,pstate,power.draw --format=csv -lms 200" date=2026-09-15T09:39:04+00:00 gpu="RTX 4090 x2" driver=610.57.04 exp=EXP-020-appendixC dtype=float round=17
index, timestamp, pcie.link.gen.current, pcie.link.width.current, clocks.current.sm [MHz], clocks.current.memory [MHz], pstate, power.draw [W]
0, 2026/09/15 09:39:05.048, 4, 16, 2835 MHz, 10501 MHz, P0, 91.36 W
1, 2026/09/15 09:39:05.055, 4, 16, 2820 MHz, 10501 MHz, P0, 85.32 W
0, 2026/09/15 09:39:05.259, 4, 16, 2835 MHz, 10501 MHz, P0, 91.36 W
1, 2026/09/15 09:39:05.260, 4, 16, 2820 MHz, 10501 MHz, P0, 78.91 W
0, 2026/09/15 09:39:05.460, 4, 16, 2835 MHz, 10501 MHz, P0, 85.46 W
1, 2026/09/15 09:39:05.460, 4, 16, 2820 MHz, 10501 MHz, P0, 78.91 W
0, 2026/09/15 09:39:05.660, 4, 16, 2835 MHz, 10501 MHz, P0, 85.46 W
1, 2026/09/15 09:39:05.660, 4, 16, 2820 MHz, 10501 MHz, P0, 78.91 W
0, 2026/09/15 09:39:05.861, 4, 16, 2520 MHz, 10501 MHz, P2, 81.34 W
1, 2026/09/15 09:39:05.862, 2, 16, 795 MHz, 810 MHz, P5, 69.72 W
0, 2026/09/15 09:39:06.062, 4, 16, 2520 MHz, 10501 MHz, P2, 81.34 W
1, 2026/09/15 09:39:06.063, 2, 16, 795 MHz, 810 MHz, P5, 69.72 W
0, 2026/09/15 09:39:06.263, 4, 16, 2520 MHz, 10501 MHz, P2, 81.34 W
1, 2026/09/15 09:39:06.263, 4, 16, 2520 MHz, 10251 MHz, P2, 59.82 W
0, 2026/09/15 09:39:06.463, 4, 16, 2520 MHz, 10251 MHz, P2, 72.77 W
1, 2026/09/15 09:39:06.463, 4, 16, 2520 MHz, 10251 MHz, P2, 59.82 W
0, 2026/09/15 09:39:06.664, 4, 16, 2520 MHz, 10251 MHz, P2, 72.77 W
1, 2026/09/15 09:39:06.664, 4, 16, 2520 MHz, 10251 MHz, P2, 59.82 W
0, 2026/09/15 09:39:06.864, 4, 16, 2835 MHz, 10251 MHz, P2, 67.40 W
1, 2026/09/15 09:39:06.864, 4, 16, 2520 MHz, 10251 MHz, P2, 60.28 W
0, 2026/09/15 09:39:07.065, 4, 16, 2835 MHz, 10251 MHz, P2, 67.40 W
1, 2026/09/15 09:39:07.065, 4, 16, 2520 MHz, 10251 MHz, P2, 60.28 W
0, 2026/09/15 09:39:07.265, 4, 16, 2835 MHz, 10251 MHz, P2, 67.40 W
1, 2026/09/15 09:39:07.265, 4, 16, 2820 MHz, 10251 MHz, P2, 81.02 W
0, 2026/09/15 09:39:07.465, 4, 16, 2835 MHz, 10251 MHz, P2, 83.22 W
1, 2026/09/15 09:39:07.465, 4, 16, 2820 MHz, 10251 MHz, P2, 81.02 W
0, 2026/09/15 09:39:07.666, 4, 16, 2835 MHz, 10251 MHz, P2, 83.22 W
1, 2026/09/15 09:39:07.666, 4, 16, 2820 MHz, 10251 MHz, P2, 81.02 W
0, 2026/09/15 09:39:07.866, 4, 16, 2835 MHz, 10251 MHz, P2, 101.62 W
1, 2026/09/15 09:39:07.866, 4, 16, 2820 MHz, 10251 MHz, P2, 97.47 W
0, 2026/09/15 09:39:08.066, 4, 16, 2835 MHz, 10251 MHz, P2, 101.62 W
1, 2026/09/15 09:39:08.067, 4, 16, 2820 MHz, 10251 MHz, P2, 97.47 W
0, 2026/09/15 09:39:08.267, 4, 16, 2835 MHz, 10251 MHz, P2, 101.62 W
1, 2026/09/15 09:39:08.267, 4, 16, 2820 MHz, 10251 MHz, P2, 103.83 W
0, 2026/09/15 09:39:08.467, 4, 16, 2835 MHz, 10251 MHz, P2, 108.97 W
1, 2026/09/15 09:39:08.467, 4, 16, 2820 MHz, 10251 MHz, P2, 103.83 W
0, 2026/09/15 09:39:08.668, 4, 16, 2835 MHz, 10251 MHz, P2, 108.97 W
1, 2026/09/15 09:39:08.668, 4, 16, 2820 MHz, 10251 MHz, P2, 103.83 W
0, 2026/09/15 09:39:08.868, 4, 16, 2835 MHz, 10251 MHz, P2, 111.06 W
1, 2026/09/15 09:39:08.868, 4, 16, 2820 MHz, 10251 MHz, P2, 105.62 W
0, 2026/09/15 09:39:09.068, 4, 16, 2835 MHz, 10251 MHz, P2, 111.06 W
1, 2026/09/15 09:39:09.069, 4, 16, 2820 MHz, 10251 MHz, P2, 105.62 W
0, 2026/09/15 09:39:09.269, 4, 16, 2835 MHz, 10251 MHz, P2, 111.06 W
1, 2026/09/15 09:39:09.269, 4, 16, 2820 MHz, 10251 MHz, P2, 106.43 W
0, 2026/09/15 09:39:09.469, 4, 16, 2835 MHz, 10251 MHz, P2, 111.87 W
1, 2026/09/15 09:39:09.469, 4, 16, 2820 MHz, 10251 MHz, P2, 106.43 W
0, 2026/09/15 09:39:09.670, 4, 16, 2835 MHz, 10251 MHz, P2, 111.87 W
1, 2026/09/15 09:39:09.670, 4, 16, 2820 MHz, 10251 MHz, P2, 106.43 W
0, 2026/09/15 09:39:09.870, 4, 16, 2835 MHz, 10251 MHz, P2, 112.46 W
1, 2026/09/15 09:39:09.870, 4, 16, 2820 MHz, 10251 MHz, P2, 106.80 W
0, 2026/09/15 09:39:10.070, 4, 16, 2835 MHz, 10251 MHz, P2, 112.46 W
1, 2026/09/15 09:39:10.071, 4, 16, 2820 MHz, 10251 MHz, P2, 106.80 W
0, 2026/09/15 09:39:10.271, 4, 16, 2835 MHz, 10251 MHz, P2, 112.46 W
1, 2026/09/15 09:39:10.271, 4, 16, 2820 MHz, 10251 MHz, P2, 106.43 W
0, 2026/09/15 09:39:10.472, 4, 16, 2835 MHz, 10251 MHz, P2, 112.34 W
1, 2026/09/15 09:39:10.472, 4, 16, 2820 MHz, 10251 MHz, P2, 106.43 W
0, 2026/09/15 09:39:10.672, 4, 16, 2835 MHz, 10251 MHz, P2, 112.34 W
1, 2026/09/15 09:39:10.672, 4, 16, 2820 MHz, 10251 MHz, P2, 106.43 W
0, 2026/09/15 09:39:10.872, 4, 16, 2835 MHz, 10251 MHz, P2, 112.70 W
1, 2026/09/15 09:39:10.873, 4, 16, 2820 MHz, 10251 MHz, P2, 106.90 W
0, 2026/09/15 09:39:11.073, 4, 16, 2835 MHz, 10251 MHz, P2, 112.70 W
1, 2026/09/15 09:39:11.073, 4, 16, 2820 MHz, 10251 MHz, P2, 106.90 W
0, 2026/09/15 09:39:11.273, 4, 16, 2835 MHz, 10251 MHz, P2, 112.70 W
1, 2026/09/15 09:39:11.273, 4, 16, 2820 MHz, 10251 MHz, P2, 106.80 W
0, 2026/09/15 09:39:11.474, 4, 16, 2835 MHz, 10251 MHz, P2, 112.67 W
1, 2026/09/15 09:39:11.474, 4, 16, 2820 MHz, 10251 MHz, P2, 106.80 W
0, 2026/09/15 09:39:11.674, 4, 16, 2835 MHz, 10251 MHz, P2, 112.67 W
1, 2026/09/15 09:39:11.674, 4, 16, 2820 MHz, 10251 MHz, P2, 106.80 W
0, 2026/09/15 09:39:11.874, 4, 16, 2835 MHz, 10251 MHz, P2, 112.83 W
1, 2026/09/15 09:39:11.874, 4, 16, 2820 MHz, 10251 MHz, P2, 106.61 W
0, 2026/09/15 09:39:12.074, 4, 16, 2835 MHz, 10251 MHz, P2, 112.83 W
1, 2026/09/15 09:39:12.075, 4, 16, 2820 MHz, 10251 MHz, P2, 106.61 W
0, 2026/09/15 09:39:12.275, 4, 16, 2835 MHz, 10251 MHz, P2, 112.83 W
1, 2026/09/15 09:39:12.275, 4, 16, 2820 MHz, 10251 MHz, P2, 106.62 W
0, 2026/09/15 09:39:12.475, 4, 16, 2835 MHz, 10251 MHz, P2, 113.19 W
1, 2026/09/15 09:39:12.475, 4, 16, 2820 MHz, 10251 MHz, P2, 106.62 W
0, 2026/09/15 09:39:12.676, 4, 16, 2835 MHz, 10251 MHz, P2, 113.19 W
1, 2026/09/15 09:39:12.676, 4, 16, 2820 MHz, 10251 MHz, P2, 106.62 W
0, 2026/09/15 09:39:12.876, 4, 16, 2835 MHz, 10251 MHz, P2, 114.73 W
1, 2026/09/15 09:39:12.876, 4, 16, 2820 MHz, 10251 MHz, P2, 107.84 W
0, 2026/09/15 09:39:13.076, 4, 16, 2835 MHz, 10251 MHz, P2, 114.73 W
1, 2026/09/15 09:39:13.076, 4, 16, 2820 MHz, 10251 MHz, P2, 107.84 W
0, 2026/09/15 09:39:13.277, 4, 16, 2835 MHz, 10251 MHz, P2, 114.73 W
1, 2026/09/15 09:39:13.277, 4, 16, 2820 MHz, 10251 MHz, P2, 107.99 W
0, 2026/09/15 09:39:13.477, 4, 16, 2835 MHz, 10251 MHz, P2, 114.89 W
1, 2026/09/15 09:39:13.477, 4, 16, 2820 MHz, 10251 MHz, P2, 107.99 W
0, 2026/09/15 09:39:13.677, 4, 16, 2835 MHz, 10251 MHz, P2, 114.89 W
1, 2026/09/15 09:39:13.677, 4, 16, 2820 MHz, 10251 MHz, P2, 107.99 W
0, 2026/09/15 09:39:13.878, 4, 16, 2835 MHz, 10251 MHz, P2, 113.67 W
