# provenance: env=sys sha=717b683182 cmd="nvidia-smi --query-gpu=index,timestamp,pcie.link.gen.current,pcie.link.width.current,clocks.sm,clocks.mem,pstate,power.draw --format=csv -lms 200" date=2026-09-15T02:52:52+00:00 gpu="RTX 4090 x2" driver=610.57.04 exp=EXP-020-appendixA dtype=float round=2
index, timestamp, pcie.link.gen.current, pcie.link.width.current, clocks.current.sm [MHz], clocks.current.memory [MHz], pstate, power.draw [W]
0, 2026/09/15 02:52:52.567, 4, 16, 2835 MHz, 10501 MHz, P0, 88.59 W
1, 2026/09/15 02:52:52.577, 4, 16, 2820 MHz, 10501 MHz, P0, 79.65 W
0, 2026/09/15 02:52:52.783, 4, 16, 2835 MHz, 10501 MHz, P0, 85.29 W
1, 2026/09/15 02:52:52.783, 4, 16, 2820 MHz, 10501 MHz, P0, 79.65 W
0, 2026/09/15 02:52:52.983, 4, 16, 2835 MHz, 10501 MHz, P0, 85.29 W
1, 2026/09/15 02:52:52.984, 4, 16, 2820 MHz, 10501 MHz, P0, 79.65 W
0, 2026/09/15 02:52:53.184, 2, 16, 2835 MHz, 10501 MHz, P5, 84.81 W
1, 2026/09/15 02:52:53.192, 4, 16, 2820 MHz, 10501 MHz, P0, 78.40 W
0, 2026/09/15 02:52:53.392, 2, 16, 2835 MHz, 10501 MHz, P5, 84.81 W
1, 2026/09/15 02:52:53.392, 4, 16, 2820 MHz, 10501 MHz, P0, 78.40 W
0, 2026/09/15 02:52:53.602, 2, 16, 2835 MHz, 10501 MHz, P5, 84.81 W
1, 2026/09/15 02:52:53.602, 4, 16, 2520 MHz, 10501 MHz, P0, 65.36 W
0, 2026/09/15 02:52:53.802, 4, 16, 2520 MHz, 10251 MHz, P2, 65.17 W
1, 2026/09/15 02:52:53.802, 4, 16, 2520 MHz, 10501 MHz, P0, 65.36 W
0, 2026/09/15 02:52:54.003, 4, 16, 2520 MHz, 10251 MHz, P2, 65.17 W
1, 2026/09/15 02:52:54.003, 4, 16, 2520 MHz, 10251 MHz, P2, 61.68 W
0, 2026/09/15 02:52:54.203, 4, 16, 2520 MHz, 10251 MHz, P2, 62.64 W
1, 2026/09/15 02:52:54.203, 4, 16, 2520 MHz, 10251 MHz, P2, 61.68 W
0, 2026/09/15 02:52:54.403, 4, 16, 2520 MHz, 10251 MHz, P2, 62.64 W
1, 2026/09/15 02:52:54.403, 4, 16, 2520 MHz, 10251 MHz, P2, 61.68 W
0, 2026/09/15 02:52:54.604, 4, 16, 2520 MHz, 10251 MHz, P2, 62.64 W
1, 2026/09/15 02:52:54.604, 4, 16, 2820 MHz, 10251 MHz, P2, 69.29 W
