# provenance: env=sys sha=717b683182 cmd="nvidia-smi --query-gpu=index,timestamp,pcie.link.gen.current,pcie.link.width.current,clocks.sm --format=csv -lms 500" date=2026-09-15T02:38:16+00:00 gpu="RTX 4090 x2" driver=610.57.04 tool_sha=717b683182 nccl=libnccl.so.2.28.9 exp=EXP-020 arm=shm0_p2pPHB_protoDEF knobs="NCCL_SHM_DISABLE=0 NCCL_P2P_LEVEL=PHB"
index, timestamp, pcie.link.gen.current, pcie.link.width.current, clocks.current.sm [MHz]
0, 2026/09/15 02:38:16.925, 4, 16, 2805 MHz
1, 2026/09/15 02:38:16.930, 2, 16, 2790 MHz
0, 2026/09/15 02:38:17.433, 2, 16, 2805 MHz
1, 2026/09/15 02:38:17.433, 2, 16, 585 MHz
0, 2026/09/15 02:38:17.934, 2, 16, 660 MHz
1, 2026/09/15 02:38:17.955, 2, 16, 585 MHz
0, 2026/09/15 02:38:18.456, 4, 16, 465 MHz
1, 2026/09/15 02:38:18.456, 4, 16, 2520 MHz
0, 2026/09/15 02:38:18.956, 4, 16, 2520 MHz
1, 2026/09/15 02:38:18.956, 4, 16, 2520 MHz
0, 2026/09/15 02:38:19.456, 4, 16, 2805 MHz
1, 2026/09/15 02:38:19.457, 4, 16, 2790 MHz
0, 2026/09/15 02:38:19.957, 4, 16, 2805 MHz
1, 2026/09/15 02:38:19.957, 4, 16, 2790 MHz
0, 2026/09/15 02:38:20.457, 4, 16, 2805 MHz
1, 2026/09/15 02:38:20.457, 4, 16, 2790 MHz
0, 2026/09/15 02:38:20.958, 4, 16, 2805 MHz
1, 2026/09/15 02:38:20.958, 4, 16, 2790 MHz
0, 2026/09/15 02:38:21.458, 4, 16, 2805 MHz
1, 2026/09/15 02:38:21.458, 4, 16, 2790 MHz
0, 2026/09/15 02:38:21.958, 4, 16, 2805 MHz
1, 2026/09/15 02:38:21.959, 4, 16, 2790 MHz
0, 2026/09/15 02:38:22.459, 4, 16, 2805 MHz
1, 2026/09/15 02:38:22.459, 4, 16, 2790 MHz
0, 2026/09/15 02:38:22.959, 4, 16, 2805 MHz
1, 2026/09/15 02:38:22.959, 4, 16, 2790 MHz
0, 2026/09/15 02:38:23.460, 4, 16, 2805 MHz
1, 2026/09/15 02:38:23.460, 4, 16, 2790 MHz
0, 2026/09/15 02:38:23.960, 4, 16, 2805 MHz
1, 2026/09/15 02:38:23.960, 4, 16, 2790 MHz
0, 2026/09/15 02:38:24.460, 4, 16, 2805 MHz
1, 2026/09/15 02:38:24.460, 4, 16, 2790 MHz
0, 2026/09/15 02:38:24.961, 4, 16, 2805 MHz
1, 2026/09/15 02:38:24.961, 4, 16, 2790 MHz
0, 2026/09/15 02:38:25.461, 4, 16, 2805 MHz
1, 2026/09/15 02:38:25.461, 4, 16, 2790 MHz
0, 2026/09/15 02:38:25.962, 4, 16, 2805 MHz
1, 2026/09/15 02:38:25.962, 4, 16, 2790 MHz
0, 2026/09/15 02:38:26.462, 4, 16, 2805 MHz
1, 2026/09/15 02:38:26.462, 4, 16, 2790 MHz
0, 2026/09/15 02:38:26.962, 4, 16, 2805 MHz
1, 2026/09/15 02:38:26.963, 4, 16, 2790 MHz
0, 2026/09/15 02:38:27.463, 4, 16, 2805 MHz
1, 2026/09/15 02:38:27.463, 4, 16, 2790 MHz
0, 2026/09/15 02:38:27.963, 4, 16, 2805 MHz
1, 2026/09/15 02:38:27.964, 4, 16, 2790 MHz
