# provenance: env=sys sha=717b683182 cmd="nvidia-smi --query-gpu=index,timestamp,pcie.link.gen.current,pcie.link.width.current,clocks.sm,utilization.gpu,memory.used --format=csv -lms 200" date=2026-09-15T03:38:48+00:00 gpu="RTX 4090 x2" driver=610.57.04 exp=EXP-020-appendixB tag=control_idle_r1
index, timestamp, pcie.link.gen.current, pcie.link.width.current, clocks.current.sm [MHz], utilization.gpu [%], memory.used [MiB]
0, 2026/09/15 03:38:48.333, 1, 16, 210 MHz, 0 %, 23620 MiB
1, 2026/09/15 03:38:48.339, 1, 16, 210 MHz, 0 %, 23620 MiB
0, 2026/09/15 03:38:48.543, 1, 16, 210 MHz, 0 %, 23620 MiB
1, 2026/09/15 03:38:48.543, 1, 16, 210 MHz, 0 %, 23620 MiB
0, 2026/09/15 03:38:48.743, 1, 16, 210 MHz, 0 %, 23620 MiB
1, 2026/09/15 03:38:48.744, 1, 16, 210 MHz, 0 %, 23620 MiB
0, 2026/09/15 03:38:48.944, 1, 16, 210 MHz, 0 %, 23651 MiB
1, 2026/09/15 03:38:48.944, 1, 16, 210 MHz, 0 %, 23620 MiB
0, 2026/09/15 03:38:49.144, 1, 16, 210 MHz, 0 %, 24011 MiB
1, 2026/09/15 03:38:49.144, 4, 16, 2520 MHz, 3 %, 24011 MiB
0, 2026/09/15 03:38:49.345, 4, 16, 2520 MHz, 0 %, 23711 MiB
1, 2026/09/15 03:38:49.345, 4, 16, 2520 MHz, 3 %, 24033 MiB
0, 2026/09/15 03:38:49.545, 4, 16, 2520 MHz, 0 %, 23753 MiB
1, 2026/09/15 03:38:49.545, 4, 16, 2520 MHz, 3 %, 23711 MiB
0, 2026/09/15 03:38:49.746, 4, 16, 2520 MHz, 8 %, 23759 MiB
1, 2026/09/15 03:38:49.746, 4, 16, 2520 MHz, 8 %, 23713 MiB
0, 2026/09/15 03:38:49.946, 4, 16, 2520 MHz, 8 %, 23737 MiB
1, 2026/09/15 03:38:49.946, 4, 16, 2520 MHz, 8 %, 23723 MiB
0, 2026/09/15 03:38:50.146, 4, 16, 2520 MHz, 8 %, 23711 MiB
1, 2026/09/15 03:38:50.146, 4, 16, 2520 MHz, 8 %, 23737 MiB
0, 2026/09/15 03:38:50.347, 4, 16, 2520 MHz, 8 %, 23711 MiB
1, 2026/09/15 03:38:50.347, 4, 16, 2520 MHz, 8 %, 23749 MiB
0, 2026/09/15 03:38:50.547, 4, 16, 2520 MHz, 8 %, 23711 MiB
1, 2026/09/15 03:38:50.547, 4, 16, 2520 MHz, 8 %, 23723 MiB
0, 2026/09/15 03:38:50.747, 4, 16, 2520 MHz, 8 %, 23759 MiB
1, 2026/09/15 03:38:50.748, 4, 16, 2520 MHz, 4 %, 23711 MiB
0, 2026/09/15 03:38:50.948, 4, 16, 2520 MHz, 8 %, 23759 MiB
1, 2026/09/15 03:38:50.948, 4, 16, 2520 MHz, 4 %, 23713 MiB
0, 2026/09/15 03:38:51.148, 4, 16, 2520 MHz, 8 %, 23733 MiB
1, 2026/09/15 03:38:51.149, 4, 16, 2520 MHz, 8 %, 23727 MiB
0, 2026/09/15 03:38:51.349, 4, 16, 2520 MHz, 8 %, 23711 MiB
1, 2026/09/15 03:38:51.349, 4, 16, 2520 MHz, 8 %, 23743 MiB
0, 2026/09/15 03:38:51.549, 4, 16, 2520 MHz, 8 %, 23711 MiB
1, 2026/09/15 03:38:51.549, 4, 16, 2520 MHz, 8 %, 23753 MiB
0, 2026/09/15 03:38:51.750, 4, 16, 2520 MHz, 8 %, 23713 MiB
1, 2026/09/15 03:38:51.750, 4, 16, 2520 MHz, 8 %, 23759 MiB
0, 2026/09/15 03:38:51.950, 4, 16, 2520 MHz, 8 %, 23725 MiB
1, 2026/09/15 03:38:51.950, 4, 16, 2520 MHz, 8 %, 23731 MiB
0, 2026/09/15 03:38:52.151, 4, 16, 2520 MHz, 8 %, 23737 MiB
