# provenance: env=sys sha=717b683182 cmd="nvidia-smi --query-gpu=index,timestamp,pcie.link.gen.current,pcie.link.width.current,clocks.sm,clocks.mem,pstate,power.draw --format=csv -lms 200" date=2026-09-15T09:41:06+00:00 gpu="RTX 4090 x2" driver=610.57.04 exp=EXP-020-appendixC dtype=float round=29
index, timestamp, pcie.link.gen.current, pcie.link.width.current, clocks.current.sm [MHz], clocks.current.memory [MHz], pstate, power.draw [W]
1, 2026/09/15 09:41:12.774, 4, 16, 2820 MHz, 10251 MHz, P2, 107.25 W
0, 2026/09/15 09:41:12.975, 4, 16, 2835 MHz, 10251 MHz, P2, 116.63 W
1, 2026/09/15 09:41:12.975, 4, 16, 2820 MHz, 10251 MHz, P2, 107.25 W
0, 2026/09/15 09:41:13.175, 4, 16, 2835 MHz, 10251 MHz, P2, 116.63 W
1, 2026/09/15 09:41:13.175, 4, 16, 2820 MHz, 10251 MHz, P2, 107.25 W
0, 2026/09/15 09:41:13.376, 4, 16, 2835 MHz, 10251 MHz, P2, 116.82 W
1, 2026/09/15 09:41:13.376, 4, 16, 2820 MHz, 10251 MHz, P2, 107.35 W
0, 2026/09/15 09:41:13.576, 4, 16, 2835 MHz, 10251 MHz, P2, 116.82 W
1, 2026/09/15 09:41:13.576, 4, 16, 2820 MHz, 10251 MHz, P2, 107.35 W
0, 2026/09/15 09:41:13.777, 4, 16, 2835 MHz, 10251 MHz, P2, 116.82 W
1, 2026/09/15 09:41:13.777, 4, 16, 2820 MHz, 10251 MHz, P2, 106.78 W
0, 2026/09/15 09:41:13.977, 4, 16, 2835 MHz, 10251 MHz, P2, 115.96 W
1, 2026/09/15 09:41:13.977, 4, 16, 2820 MHz, 10251 MHz, P2, 106.78 W
0, 2026/09/15 09:41:14.177, 4, 16, 2835 MHz, 10251 MHz, P2, 115.96 W
1, 2026/09/15 09:41:14.178, 4, 16, 2820 MHz, 10251 MHz, P2, 106.78 W
0, 2026/09/15 09:41:14.378, 4, 16, 2835 MHz, 10251 MHz, P2, 117.24 W
1, 2026/09/15 09:41:14.378, 4, 16, 2820 MHz, 10251 MHz, P2, 107.84 W
0, 2026/09/15 09:41:14.578, 4, 16, 2835 MHz, 10251 MHz, P2, 117.24 W
1, 2026/09/15 09:41:14.579, 4, 16, 2820 MHz, 10251 MHz, P2, 107.84 W
0, 2026/09/15 09:41:14.779, 4, 16, 2835 MHz, 10251 MHz, P2, 117.24 W
1, 2026/09/15 09:41:14.779, 4, 16, 2820 MHz, 10251 MHz, P2, 108.03 W
0, 2026/09/15 09:41:14.979, 4, 16, 2835 MHz, 10251 MHz, P2, 117.88 W
1, 2026/09/15 09:41:14.979, 4, 16, 2820 MHz, 10251 MHz, P2, 108.03 W
0, 2026/09/15 09:41:15.180, 4, 16, 2835 MHz, 10251 MHz, P2, 117.88 W
1, 2026/09/15 09:41:15.180, 4, 16, 2820 MHz, 10251 MHz, P2, 108.03 W
0, 2026/09/15 09:41:15.380, 4, 16, 2835 MHz, 10251 MHz, P2, 116.96 W
1, 2026/09/15 09:41:15.380, 4, 16, 2820 MHz, 10251 MHz, P2, 107.20 W
0, 2026/09/15 09:41:15.581, 4, 16, 2835 MHz, 10251 MHz, P2, 116.96 W
1, 2026/09/15 09:41:15.581, 4, 16, 2820 MHz, 10251 MHz, P2, 107.20 W
0, 2026/09/15 09:41:15.781, 4, 16, 2835 MHz, 10251 MHz, P2, 116.96 W
1, 2026/09/15 09:41:15.781, 4, 16, 2820 MHz, 10251 MHz, P2, 100.21 W
0, 2026/09/15 09:41:15.981, 4, 16, 2835 MHz, 10251 MHz, P2, 106.48 W
1, 2026/09/15 09:41:15.982, 4, 16, 2820 MHz, 10251 MHz, P2, 100.21 W
0, 2026/09/15 09:41:16.182, 4, 16, 2835 MHz, 10251 MHz, P2, 106.48 W
1, 2026/09/15 09:41:16.182, 4, 16, 2820 MHz, 10251 MHz, P2, 100.21 W
0, 2026/09/15 09:41:16.382, 4, 16, 2835 MHz, 10501 MHz, P0, 94.05 W
1, 2026/09/15 09:41:16.382, 4, 16, 2820 MHz, 10501 MHz, P0, 88.85 W
0, 2026/09/15 09:41:16.583, 4, 16, 2835 MHz, 10501 MHz, P0, 94.05 W
1, 2026/09/15 09:41:16.583, 4, 16, 2820 MHz, 10501 MHz, P0, 88.85 W
