# provenance: env=sys sha=717b683182 cmd="nvidia-smi --query-gpu=index,timestamp,pcie.link.gen.current,pcie.link.width.current,clocks.sm --format=csv -lms 500" date=2026-09-15T02:38:40+00:00 gpu="RTX 4090 x2" driver=610.57.04 tool_sha=717b683182 nccl=libnccl.so.2.28.9 exp=EXP-020 arm=shm1_p2pDEF_protoDEF knobs="NCCL_SHM_DISABLE=1"
index, timestamp, pcie.link.gen.current, pcie.link.width.current, clocks.current.sm [MHz]
0, 2026/09/15 02:39:03.940, 4, 16, 2835 MHz
1, 2026/09/15 02:39:03.940, 4, 16, 2790 MHz
0, 2026/09/15 02:39:04.440, 4, 16, 2835 MHz
1, 2026/09/15 02:39:04.441, 4, 16, 2790 MHz
0, 2026/09/15 02:39:04.941, 4, 16, 2835 MHz
1, 2026/09/15 02:39:04.941, 4, 16, 2790 MHz
0, 2026/09/15 02:39:05.441, 4, 16, 2835 MHz
1, 2026/09/15 02:39:05.442, 4, 16, 2790 MHz
0, 2026/09/15 02:39:05.942, 4, 16, 2835 MHz
1, 2026/09/15 02:39:05.942, 4, 16, 2790 MHz
0, 2026/09/15 02:39:06.443, 4, 16, 2835 MHz
1, 2026/09/15 02:39:06.443, 4, 16, 2790 MHz
0, 2026/09/15 02:39:06.943, 4, 16, 2835 MHz
1, 2026/09/15 02:39:06.944, 4, 16, 2790 MHz
0, 2026/09/15 02:39:07.444, 4, 16, 2835 MHz
1, 2026/09/15 02:39:07.444, 4, 16, 2790 MHz
0, 2026/09/15 02:39:07.944, 4, 16, 2835 MHz
1, 2026/09/15 02:39:07.945, 4, 16, 2790 MHz
0, 2026/09/15 02:39:08.445, 4, 16, 2835 MHz
1, 2026/09/15 02:39:08.445, 4, 16, 2790 MHz
0, 2026/09/15 02:39:08.945, 4, 16, 2835 MHz
1, 2026/09/15 02:39:08.946, 4, 16, 2790 MHz
0, 2026/09/15 02:39:09.446, 4, 16, 2835 MHz
1, 2026/09/15 02:39:09.446, 4, 16, 2790 MHz
0, 2026/09/15 02:39:09.946, 4, 16, 2835 MHz
1, 2026/09/15 02:39:09.947, 4, 16, 2790 MHz
0, 2026/09/15 02:39:10.447, 4, 16, 2835 MHz
1, 2026/09/15 02:39:10.447, 4, 16, 2790 MHz
0, 2026/09/15 02:39:10.948, 4, 16, 2835 MHz
1, 2026/09/15 02:39:10.948, 4, 16, 2790 MHz
0, 2026/09/15 02:39:11.448, 4, 16, 2835 MHz
1, 2026/09/15 02:39:11.448, 4, 16, 2790 MHz
0, 2026/09/15 02:39:11.949, 4, 16, 2835 MHz
1, 2026/09/15 02:39:11.949, 4, 16, 2790 MHz
0, 2026/09/15 02:39:12.449, 4, 16, 2835 MHz
1, 2026/09/15 02:39:12.487, 4, 16, 2790 MHz
0, 2026/09/15 02:39:12.990, 4, 16, 2835 MHz
1, 2026/09/15 02:39:12.990, 4, 16, 2790 MHz
0, 2026/09/15 02:39:13.490, 4, 16, 2835 MHz
1, 2026/09/15 02:39:13.491, 4, 16, 2790 MHz
