# provenance: env=sys sha=717b683182 cmd="nvidia-smi --query-gpu=index,timestamp,pcie.link.gen.current,pcie.link.width.current,clocks.sm,clocks.mem,pstate,power.draw --format=csv -lms 200" date=2026-09-15T09:46:12+00:00 gpu="RTX 4090 x2" driver=610.57.04 exp=EXP-020-appendixC dtype=half round=58
index, timestamp, pcie.link.gen.current, pcie.link.width.current, clocks.current.sm [MHz], clocks.current.memory [MHz], pstate, power.draw [W]
0, 2026/09/15 09:46:13.103, 4, 16, 2835 MHz, 10501 MHz, P0, 88.04 W
1, 2026/09/15 09:46:13.110, 4, 16, 2820 MHz, 10501 MHz, P0, 80.71 W
0, 2026/09/15 09:46:13.315, 4, 16, 2835 MHz, 10501 MHz, P0, 88.04 W
1, 2026/09/15 09:46:13.315, 4, 16, 2820 MHz, 10501 MHz, P0, 79.22 W
0, 2026/09/15 09:46:13.515, 4, 16, 2835 MHz, 10501 MHz, P0, 87.78 W
1, 2026/09/15 09:46:13.515, 4, 16, 2820 MHz, 10501 MHz, P0, 79.22 W
0, 2026/09/15 09:46:13.716, 4, 16, 2835 MHz, 10501 MHz, P0, 87.78 W
1, 2026/09/15 09:46:13.730, 4, 16, 2820 MHz, 10501 MHz, P0, 79.22 W
0, 2026/09/15 09:46:13.930, 4, 16, 2520 MHz, 10251 MHz, P2, 79.22 W
1, 2026/09/15 09:46:13.930, 2, 16, 825 MHz, 810 MHz, P5, 60.37 W
0, 2026/09/15 09:46:14.131, 4, 16, 2520 MHz, 10251 MHz, P2, 79.22 W
1, 2026/09/15 09:46:14.131, 2, 16, 825 MHz, 810 MHz, P5, 60.37 W
0, 2026/09/15 09:46:14.331, 4, 16, 2520 MHz, 10251 MHz, P2, 79.22 W
1, 2026/09/15 09:46:14.331, 4, 16, 2520 MHz, 10251 MHz, P2, 51.63 W
0, 2026/09/15 09:46:14.531, 4, 16, 2520 MHz, 10251 MHz, P2, 69.80 W
1, 2026/09/15 09:46:14.531, 4, 16, 2520 MHz, 10251 MHz, P2, 51.63 W
0, 2026/09/15 09:46:14.732, 4, 16, 2520 MHz, 10251 MHz, P2, 69.80 W
1, 2026/09/15 09:46:14.732, 4, 16, 2520 MHz, 10251 MHz, P2, 51.63 W
0, 2026/09/15 09:46:14.932, 4, 16, 2835 MHz, 10251 MHz, P2, 68.52 W
1, 2026/09/15 09:46:14.932, 4, 16, 2520 MHz, 10251 MHz, P2, 61.02 W
0, 2026/09/15 09:46:15.132, 4, 16, 2835 MHz, 10251 MHz, P2, 68.52 W
1, 2026/09/15 09:46:15.132, 4, 16, 2520 MHz, 10251 MHz, P2, 61.02 W
0, 2026/09/15 09:46:15.333, 4, 16, 2835 MHz, 10251 MHz, P2, 68.52 W
1, 2026/09/15 09:46:15.333, 4, 16, 2820 MHz, 10251 MHz, P2, 82.53 W
0, 2026/09/15 09:46:15.533, 4, 16, 2835 MHz, 10251 MHz, P2, 87.15 W
1, 2026/09/15 09:46:15.533, 4, 16, 2820 MHz, 10251 MHz, P2, 82.53 W
0, 2026/09/15 09:46:15.734, 4, 16, 2835 MHz, 10251 MHz, P2, 87.15 W
1, 2026/09/15 09:46:15.734, 4, 16, 2820 MHz, 10251 MHz, P2, 82.53 W
0, 2026/09/15 09:46:15.934, 4, 16, 2835 MHz, 10251 MHz, P2, 107.52 W
1, 2026/09/15 09:46:15.934, 4, 16, 2820 MHz, 10251 MHz, P2, 99.21 W
0, 2026/09/15 09:46:16.135, 4, 16, 2835 MHz, 10251 MHz, P2, 107.52 W
1, 2026/09/15 09:46:16.135, 4, 16, 2820 MHz, 10251 MHz, P2, 99.21 W
0, 2026/09/15 09:46:16.335, 4, 16, 2835 MHz, 10251 MHz, P2, 107.52 W
