# provenance: env=sys sha=717b683182 cmd="nvidia-smi --query-gpu=index,timestamp,pcie.link.gen.current,pcie.link.width.current,clocks.sm,clocks.mem,pstate,power.draw --format=csv -lms 200" date=2026-09-15T09:36:11+00:00 gpu="RTX 4090 x2" driver=610.57.04 exp=EXP-020-appendixC dtype=half round=2
index, timestamp, pcie.link.gen.current, pcie.link.width.current, clocks.current.sm [MHz], clocks.current.memory [MHz], pstate, power.draw [W]
1, 2026/09/15 09:36:17.788, 4, 16, 2820 MHz, 10251 MHz, P2, 107.03 W
0, 2026/09/15 09:36:17.988, 4, 16, 2835 MHz, 10251 MHz, P2, 113.22 W
1, 2026/09/15 09:36:17.988, 4, 16, 2820 MHz, 10251 MHz, P2, 107.03 W
0, 2026/09/15 09:36:18.189, 4, 16, 2835 MHz, 10251 MHz, P2, 113.22 W
1, 2026/09/15 09:36:18.189, 4, 16, 2820 MHz, 10251 MHz, P2, 107.03 W
0, 2026/09/15 09:36:18.389, 4, 16, 2835 MHz, 10251 MHz, P2, 112.31 W
1, 2026/09/15 09:36:18.389, 4, 16, 2820 MHz, 10251 MHz, P2, 106.36 W
0, 2026/09/15 09:36:18.590, 4, 16, 2835 MHz, 10251 MHz, P2, 112.31 W
1, 2026/09/15 09:36:18.590, 4, 16, 2820 MHz, 10251 MHz, P2, 106.36 W
0, 2026/09/15 09:36:18.790, 4, 16, 2835 MHz, 10251 MHz, P2, 114.40 W
1, 2026/09/15 09:36:18.790, 4, 16, 2820 MHz, 10251 MHz, P2, 108.07 W
0, 2026/09/15 09:36:18.990, 4, 16, 2835 MHz, 10251 MHz, P2, 114.40 W
1, 2026/09/15 09:36:18.991, 4, 16, 2820 MHz, 10251 MHz, P2, 108.07 W
0, 2026/09/15 09:36:19.191, 4, 16, 2835 MHz, 10251 MHz, P2, 114.40 W
1, 2026/09/15 09:36:19.191, 4, 16, 2820 MHz, 10251 MHz, P2, 108.07 W
0, 2026/09/15 09:36:19.391, 4, 16, 2835 MHz, 10251 MHz, P2, 114.05 W
1, 2026/09/15 09:36:19.392, 4, 16, 2820 MHz, 10251 MHz, P2, 108.10 W
0, 2026/09/15 09:36:19.592, 4, 16, 2835 MHz, 10251 MHz, P2, 114.05 W
1, 2026/09/15 09:36:19.592, 4, 16, 2820 MHz, 10251 MHz, P2, 108.10 W
0, 2026/09/15 09:36:19.792, 4, 16, 2835 MHz, 10251 MHz, P2, 111.56 W
1, 2026/09/15 09:36:19.793, 4, 16, 2820 MHz, 10251 MHz, P2, 105.76 W
0, 2026/09/15 09:36:19.993, 4, 16, 2835 MHz, 10251 MHz, P2, 111.56 W
1, 2026/09/15 09:36:19.993, 4, 16, 2820 MHz, 10251 MHz, P2, 105.76 W
0, 2026/09/15 09:36:20.193, 4, 16, 2835 MHz, 10251 MHz, P2, 111.56 W
1, 2026/09/15 09:36:20.193, 4, 16, 2820 MHz, 10251 MHz, P2, 105.76 W
0, 2026/09/15 09:36:20.394, 4, 16, 2835 MHz, 10251 MHz, P2, 103.80 W
1, 2026/09/15 09:36:20.394, 4, 16, 2820 MHz, 10251 MHz, P2, 101.71 W
0, 2026/09/15 09:36:20.594, 4, 16, 2835 MHz, 10251 MHz, P2, 103.80 W
1, 2026/09/15 09:36:20.611, 4, 16, 2820 MHz, 10251 MHz, P2, 101.71 W
0, 2026/09/15 09:36:20.812, 4, 16, 2835 MHz, 10501 MHz, P0, 91.73 W
1, 2026/09/15 09:36:20.812, 4, 16, 2820 MHz, 10501 MHz, P0, 90.61 W
0, 2026/09/15 09:36:21.012, 4, 16, 2835 MHz, 10501 MHz, P0, 91.73 W
1, 2026/09/15 09:36:21.012, 4, 16, 2820 MHz, 10501 MHz, P0, 90.61 W
