# provenance: env=sys sha=717b683182 cmd="nvidia-smi --query-gpu=index,timestamp,pcie.link.gen.current,pcie.link.width.current,clocks.sm --format=csv -lms 500" date=2026-09-15T02:39:47+00:00 gpu="RTX 4090 x2" driver=610.57.04 tool_sha=717b683182 nccl=libnccl.so.2.28.9 exp=EXP-020 arm=shm1_p2pPIX_protoDEF knobs="NCCL_SHM_DISABLE=1 NCCL_P2P_LEVEL=PIX"
index, timestamp, pcie.link.gen.current, pcie.link.width.current, clocks.current.sm [MHz]
1, 2026/09/15 02:40:09.974, 4, 16, 2820 MHz
0, 2026/09/15 02:40:10.474, 4, 16, 2835 MHz
1, 2026/09/15 02:40:10.474, 4, 16, 2820 MHz
0, 2026/09/15 02:40:10.974, 4, 16, 2835 MHz
1, 2026/09/15 02:40:10.975, 4, 16, 2820 MHz
0, 2026/09/15 02:40:11.475, 4, 16, 2835 MHz
1, 2026/09/15 02:40:11.475, 4, 16, 2820 MHz
0, 2026/09/15 02:40:11.975, 4, 16, 2835 MHz
1, 2026/09/15 02:40:11.976, 4, 16, 2820 MHz
0, 2026/09/15 02:40:12.476, 4, 16, 2835 MHz
1, 2026/09/15 02:40:12.476, 4, 16, 2820 MHz
0, 2026/09/15 02:40:12.976, 4, 16, 2835 MHz
1, 2026/09/15 02:40:12.977, 4, 16, 2820 MHz
0, 2026/09/15 02:40:13.477, 4, 16, 2835 MHz
1, 2026/09/15 02:40:13.477, 4, 16, 2820 MHz
0, 2026/09/15 02:40:13.977, 4, 16, 2835 MHz
1, 2026/09/15 02:40:13.978, 4, 16, 2820 MHz
0, 2026/09/15 02:40:14.478, 4, 16, 2835 MHz
1, 2026/09/15 02:40:14.478, 4, 16, 2820 MHz
0, 2026/09/15 02:40:14.978, 4, 16, 2835 MHz
1, 2026/09/15 02:40:14.979, 4, 16, 2820 MHz
0, 2026/09/15 02:40:15.479, 4, 16, 2835 MHz
1, 2026/09/15 02:40:15.479, 4, 16, 2820 MHz
0, 2026/09/15 02:40:15.979, 4, 16, 2835 MHz
1, 2026/09/15 02:40:15.980, 4, 16, 2820 MHz
0, 2026/09/15 02:40:16.480, 4, 16, 2835 MHz
1, 2026/09/15 02:40:16.480, 4, 16, 2820 MHz
0, 2026/09/15 02:40:16.981, 4, 16, 2835 MHz
1, 2026/09/15 02:40:16.981, 4, 16, 2820 MHz
0, 2026/09/15 02:40:17.481, 4, 16, 2835 MHz
1, 2026/09/15 02:40:17.481, 4, 16, 2820 MHz
0, 2026/09/15 02:40:17.982, 4, 16, 2835 MHz
1, 2026/09/15 02:40:17.982, 4, 16, 2820 MHz
0, 2026/09/15 02:40:18.482, 4, 16, 2835 MHz
1, 2026/09/15 02:40:18.482, 4, 16, 2820 MHz
0, 2026/09/15 02:40:18.983, 4, 16, 2835 MHz
1, 2026/09/15 02:40:18.983, 4, 16, 2820 MHz
0, 2026/09/15 02:40:19.483, 4, 16, 2835 MHz
1, 2026/09/15 02:40:19.483, 4, 16, 2820 MHz
0, 2026/09/15 02:40:19.984, 4, 16, 2835 MHz
1, 2026/09/15 02:40:19.984, 4, 16, 2820 MHz
0, 2026/09/15 02:40:20.484, 4, 16, 2835 MHz
1, 2026/09/15 02:40:20.485, 4, 16, 2820 MHz
0, 2026/09/15 02:40:20.985, 4, 16, 2835 MHz
1, 2026/09/15 02:40:20.985, 4, 16, 2820 MHz
0, 2026/09/15 02:40:21.486, 4, 16, 2835 MHz
1, 2026/09/15 02:40:21.486, 4, 16, 2820 MHz
0, 2026/09/15 02:40:21.986, 4, 16, 2835 MHz
1, 2026/09/15 02:40:21.986, 4, 16, 2820 MHz
0, 2026/09/15 02:40:22.487, 4, 16, 2835 MHz
1, 2026/09/15 02:40:22.487, 4, 16, 2820 MHz
0, 2026/09/15 02:40:22.987, 4, 16, 2835 MHz
1, 2026/09/15 02:40:22.987, 4, 16, 2820 MHz
0, 2026/09/15 02:40:23.487, 4, 16, 2835 MHz
1, 2026/09/15 02:40:23.488, 4, 16, 2820 MHz
0, 2026/09/15 02:40:23.988, 4, 16, 2835 MHz
1, 2026/09/15 02:40:23.988, 4, 16, 2820 MHz
0, 2026/09/15 02:40:24.488, 4, 16, 2835 MHz
1, 2026/09/15 02:40:24.488, 4, 16, 2820 MHz
