# provenance: env=sys sha=717b683182 cmd="nvidia-smi --query-gpu=index,timestamp,pcie.link.gen.current,pcie.link.width.current,clocks.sm,clocks.mem,pstate,power.draw --format=csv -lms 200" date=2026-09-15T09:42:25+00:00 gpu="RTX 4090 x2" driver=610.57.04 exp=EXP-020-appendixC dtype=float round=37
index, timestamp, pcie.link.gen.current, pcie.link.width.current, clocks.current.sm [MHz], clocks.current.memory [MHz], pstate, power.draw [W]
0, 2026/09/15 09:42:25.940, 4, 16, 2835 MHz, 10501 MHz, P0, 87.75 W
1, 2026/09/15 09:42:25.946, 4, 16, 2820 MHz, 10501 MHz, P0, 80.59 W
0, 2026/09/15 09:42:26.151, 4, 16, 2835 MHz, 10501 MHz, P0, 87.75 W
1, 2026/09/15 09:42:26.151, 4, 16, 2820 MHz, 10501 MHz, P0, 80.59 W
0, 2026/09/15 09:42:26.351, 4, 16, 2835 MHz, 10501 MHz, P0, 87.38 W
1, 2026/09/15 09:42:26.351, 2, 16, 2820 MHz, 10501 MHz, P5, 79.00 W
0, 2026/09/15 09:42:26.552, 4, 16, 2835 MHz, 10501 MHz, P0, 87.38 W
1, 2026/09/15 09:42:26.563, 2, 16, 2820 MHz, 10501 MHz, P5, 79.00 W
0, 2026/09/15 09:42:26.763, 4, 16, 2835 MHz, 10501 MHz, P0, 87.38 W
1, 2026/09/15 09:42:26.763, 2, 16, 2820 MHz, 10501 MHz, P5, 79.00 W
0, 2026/09/15 09:42:26.964, 4, 16, 2520 MHz, 10251 MHz, P2, 77.56 W
1, 2026/09/15 09:42:26.964, 4, 16, 2520 MHz, 10501 MHz, P0, 57.42 W
0, 2026/09/15 09:42:27.164, 4, 16, 2520 MHz, 10251 MHz, P2, 77.56 W
1, 2026/09/15 09:42:27.164, 4, 16, 2520 MHz, 10501 MHz, P0, 57.42 W
0, 2026/09/15 09:42:27.365, 4, 16, 2520 MHz, 10251 MHz, P2, 70.92 W
1, 2026/09/15 09:42:27.365, 4, 16, 2520 MHz, 10251 MHz, P2, 52.90 W
0, 2026/09/15 09:42:27.565, 4, 16, 2520 MHz, 10251 MHz, P2, 70.92 W
1, 2026/09/15 09:42:27.565, 4, 16, 2520 MHz, 10251 MHz, P2, 52.90 W
0, 2026/09/15 09:42:27.766, 4, 16, 2520 MHz, 10251 MHz, P2, 70.92 W
1, 2026/09/15 09:42:27.766, 4, 16, 2820 MHz, 10251 MHz, P2, 72.26 W
0, 2026/09/15 09:42:27.966, 4, 16, 2835 MHz, 10251 MHz, P2, 74.84 W
1, 2026/09/15 09:42:27.966, 4, 16, 2820 MHz, 10251 MHz, P2, 72.26 W
