# provenance: env=sys sha=717b683182 cmd="nvidia-smi --query-gpu=index,timestamp,pcie.link.gen.current,pcie.link.width.current,clocks.sm,clocks.mem,pstate,power.draw --format=csv -lms 200" date=2026-09-15T09:46:03+00:00 gpu="RTX 4090 x2" driver=610.57.04 exp=EXP-020-appendixC dtype=float round=57
index, timestamp, pcie.link.gen.current, pcie.link.width.current, clocks.current.sm [MHz], clocks.current.memory [MHz], pstate, power.draw [W]
0, 2026/09/15 09:46:03.219, 4, 16, 2835 MHz, 10501 MHz, P0, 98.82 W
1, 2026/09/15 09:46:03.225, 4, 16, 2820 MHz, 10501 MHz, P0, 90.61 W
0, 2026/09/15 09:46:03.430, 4, 16, 2835 MHz, 10501 MHz, P0, 87.68 W
1, 2026/09/15 09:46:03.430, 4, 16, 2820 MHz, 10501 MHz, P0, 80.22 W
0, 2026/09/15 09:46:03.630, 4, 16, 2835 MHz, 10501 MHz, P0, 87.68 W
1, 2026/09/15 09:46:03.630, 4, 16, 2820 MHz, 10501 MHz, P0, 80.22 W
0, 2026/09/15 09:46:03.831, 4, 16, 2835 MHz, 10501 MHz, P0, 87.68 W
1, 2026/09/15 09:46:03.841, 4, 16, 2820 MHz, 10501 MHz, P0, 79.29 W
0, 2026/09/15 09:46:04.041, 4, 16, 2520 MHz, 10501 MHz, P0, 87.24 W
1, 2026/09/15 09:46:04.041, 4, 16, 2820 MHz, 10501 MHz, P0, 79.29 W
0, 2026/09/15 09:46:04.242, 4, 16, 2520 MHz, 10501 MHz, P0, 87.24 W
1, 2026/09/15 09:46:04.242, 4, 16, 2820 MHz, 10501 MHz, P0, 79.29 W
0, 2026/09/15 09:46:04.442, 4, 16, 2520 MHz, 10251 MHz, P2, 78.06 W
1, 2026/09/15 09:46:04.442, 4, 16, 2520 MHz, 10251 MHz, P2, 72.59 W
0, 2026/09/15 09:46:04.642, 4, 16, 2520 MHz, 10251 MHz, P2, 78.06 W
1, 2026/09/15 09:46:04.642, 4, 16, 2520 MHz, 10251 MHz, P2, 72.59 W
0, 2026/09/15 09:46:04.843, 4, 16, 2520 MHz, 10251 MHz, P2, 78.06 W
1, 2026/09/15 09:46:04.843, 4, 16, 2520 MHz, 10251 MHz, P2, 66.73 W
0, 2026/09/15 09:46:05.043, 4, 16, 2835 MHz, 10251 MHz, P2, 69.18 W
1, 2026/09/15 09:46:05.043, 4, 16, 2520 MHz, 10251 MHz, P2, 66.73 W
0, 2026/09/15 09:46:05.243, 4, 16, 2835 MHz, 10251 MHz, P2, 69.18 W
1, 2026/09/15 09:46:05.243, 4, 16, 2520 MHz, 10251 MHz, P2, 66.73 W
0, 2026/09/15 09:46:05.444, 4, 16, 2835 MHz, 10251 MHz, P2, 85.51 W
1, 2026/09/15 09:46:05.444, 4, 16, 2820 MHz, 10251 MHz, P2, 81.02 W
0, 2026/09/15 09:46:05.644, 4, 16, 2835 MHz, 10251 MHz, P2, 85.51 W
1, 2026/09/15 09:46:05.644, 4, 16, 2820 MHz, 10251 MHz, P2, 81.02 W
0, 2026/09/15 09:46:05.844, 4, 16, 2835 MHz, 10251 MHz, P2, 85.51 W
1, 2026/09/15 09:46:05.845, 4, 16, 2820 MHz, 10251 MHz, P2, 98.48 W
0, 2026/09/15 09:46:06.045, 4, 16, 2835 MHz, 10251 MHz, P2, 106.86 W
1, 2026/09/15 09:46:06.045, 4, 16, 2820 MHz, 10251 MHz, P2, 98.48 W
0, 2026/09/15 09:46:06.245, 4, 16, 2835 MHz, 10251 MHz, P2, 106.86 W
1, 2026/09/15 09:46:06.245, 4, 16, 2820 MHz, 10251 MHz, P2, 98.48 W
0, 2026/09/15 09:46:06.446, 4, 16, 2835 MHz, 10251 MHz, P2, 113.97 W
1, 2026/09/15 09:46:06.446, 4, 16, 2820 MHz, 10251 MHz, P2, 104.32 W
0, 2026/09/15 09:46:06.646, 4, 16, 2835 MHz, 10251 MHz, P2, 113.97 W
1, 2026/09/15 09:46:06.646, 4, 16, 2820 MHz, 10251 MHz, P2, 104.32 W
0, 2026/09/15 09:46:06.846, 4, 16, 2835 MHz, 10251 MHz, P2, 113.97 W
1, 2026/09/15 09:46:06.846, 4, 16, 2820 MHz, 10251 MHz, P2, 105.36 W
0, 2026/09/15 09:46:07.047, 4, 16, 2835 MHz, 10251 MHz, P2, 115.40 W
1, 2026/09/15 09:46:07.047, 4, 16, 2820 MHz, 10251 MHz, P2, 105.36 W
0, 2026/09/15 09:46:07.247, 4, 16, 2835 MHz, 10251 MHz, P2, 115.40 W
1, 2026/09/15 09:46:07.247, 4, 16, 2820 MHz, 10251 MHz, P2, 105.36 W
0, 2026/09/15 09:46:07.447, 4, 16, 2835 MHz, 10251 MHz, P2, 116.15 W
