# provenance: env=sys sha=717b683182 cmd="nvidia-smi --query-gpu=index,timestamp,pcie.link.gen.current,pcie.link.width.current,clocks.sm,clocks.mem,pstate,power.draw --format=csv -lms 200" date=2026-09-15T09:42:44+00:00 gpu="RTX 4090 x2" driver=610.57.04 exp=EXP-020-appendixC dtype=float round=39
index, timestamp, pcie.link.gen.current, pcie.link.width.current, clocks.current.sm [MHz], clocks.current.memory [MHz], pstate, power.draw [W]
0, 2026/09/15 09:42:44.933, 4, 16, 2835 MHz, 10501 MHz, P0, 88.91 W
1, 2026/09/15 09:42:44.939, 4, 16, 2820 MHz, 10501 MHz, P0, 80.89 W
0, 2026/09/15 09:42:45.144, 4, 16, 2835 MHz, 10501 MHz, P0, 88.91 W
1, 2026/09/15 09:42:45.144, 4, 16, 2820 MHz, 10501 MHz, P0, 80.89 W
0, 2026/09/15 09:42:45.344, 4, 16, 2835 MHz, 10501 MHz, P0, 88.44 W
1, 2026/09/15 09:42:45.344, 2, 16, 2820 MHz, 10501 MHz, P5, 79.31 W
0, 2026/09/15 09:42:45.544, 4, 16, 2835 MHz, 10501 MHz, P0, 88.44 W
1, 2026/09/15 09:42:45.555, 2, 16, 2820 MHz, 10501 MHz, P5, 79.31 W
0, 2026/09/15 09:42:45.755, 4, 16, 2835 MHz, 10501 MHz, P0, 88.44 W
1, 2026/09/15 09:42:45.756, 2, 16, 2820 MHz, 10501 MHz, P5, 79.31 W
0, 2026/09/15 09:42:45.956, 4, 16, 2520 MHz, 10251 MHz, P2, 77.97 W
1, 2026/09/15 09:42:45.956, 4, 16, 2520 MHz, 10501 MHz, P0, 57.91 W
0, 2026/09/15 09:42:46.156, 4, 16, 2520 MHz, 10251 MHz, P2, 77.97 W
1, 2026/09/15 09:42:46.156, 4, 16, 2520 MHz, 10501 MHz, P0, 57.91 W
0, 2026/09/15 09:42:46.357, 4, 16, 2520 MHz, 10251 MHz, P2, 71.16 W
1, 2026/09/15 09:42:46.358, 4, 16, 2520 MHz, 10251 MHz, P2, 53.53 W
0, 2026/09/15 09:42:46.558, 4, 16, 2520 MHz, 10251 MHz, P2, 71.16 W
1, 2026/09/15 09:42:46.558, 4, 16, 2520 MHz, 10251 MHz, P2, 53.53 W
0, 2026/09/15 09:42:46.758, 4, 16, 2520 MHz, 10251 MHz, P2, 71.16 W
1, 2026/09/15 09:42:46.758, 4, 16, 2520 MHz, 10251 MHz, P2, 53.53 W
0, 2026/09/15 09:42:46.958, 4, 16, 2835 MHz, 10251 MHz, P2, 73.90 W
1, 2026/09/15 09:42:46.958, 4, 16, 2820 MHz, 10251 MHz, P2, 73.19 W
0, 2026/09/15 09:42:47.158, 4, 16, 2835 MHz, 10251 MHz, P2, 73.90 W
1, 2026/09/15 09:42:47.159, 4, 16, 2820 MHz, 10251 MHz, P2, 73.19 W
0, 2026/09/15 09:42:47.359, 4, 16, 2835 MHz, 10251 MHz, P2, 93.98 W
1, 2026/09/15 09:42:47.359, 4, 16, 2820 MHz, 10251 MHz, P2, 91.27 W
0, 2026/09/15 09:42:47.559, 4, 16, 2835 MHz, 10251 MHz, P2, 93.98 W
1, 2026/09/15 09:42:47.559, 4, 16, 2820 MHz, 10251 MHz, P2, 91.27 W
0, 2026/09/15 09:42:47.760, 4, 16, 2835 MHz, 10251 MHz, P2, 93.98 W
1, 2026/09/15 09:42:47.760, 4, 16, 2820 MHz, 10251 MHz, P2, 91.27 W
0, 2026/09/15 09:42:47.960, 4, 16, 2835 MHz, 10251 MHz, P2, 111.57 W
1, 2026/09/15 09:42:47.960, 4, 16, 2820 MHz, 10251 MHz, P2, 103.60 W
0, 2026/09/15 09:42:48.160, 4, 16, 2835 MHz, 10251 MHz, P2, 111.57 W
1, 2026/09/15 09:42:48.161, 4, 16, 2820 MHz, 10251 MHz, P2, 103.60 W
0, 2026/09/15 09:42:48.361, 4, 16, 2835 MHz, 10251 MHz, P2, 114.86 W
1, 2026/09/15 09:42:48.361, 4, 16, 2820 MHz, 10251 MHz, P2, 105.93 W
0, 2026/09/15 09:42:48.561, 4, 16, 2835 MHz, 10251 MHz, P2, 114.86 W
1, 2026/09/15 09:42:48.561, 4, 16, 2820 MHz, 10251 MHz, P2, 105.93 W
0, 2026/09/15 09:42:48.762, 4, 16, 2835 MHz, 10251 MHz, P2, 114.86 W
1, 2026/09/15 09:42:48.762, 4, 16, 2820 MHz, 10251 MHz, P2, 105.93 W
0, 2026/09/15 09:42:48.962, 4, 16, 2835 MHz, 10251 MHz, P2, 115.77 W
1, 2026/09/15 09:42:48.962, 4, 16, 2820 MHz, 10251 MHz, P2, 106.79 W
0, 2026/09/15 09:42:49.162, 4, 16, 2835 MHz, 10251 MHz, P2, 115.77 W
1, 2026/09/15 09:42:49.163, 4, 16, 2820 MHz, 10251 MHz, P2, 106.79 W
0, 2026/09/15 09:42:49.363, 4, 16, 2835 MHz, 10251 MHz, P2, 115.62 W
1, 2026/09/15 09:42:49.363, 4, 16, 2820 MHz, 10251 MHz, P2, 106.68 W
0, 2026/09/15 09:42:49.563, 4, 16, 2835 MHz, 10251 MHz, P2, 115.62 W
1, 2026/09/15 09:42:49.563, 4, 16, 2820 MHz, 10251 MHz, P2, 106.68 W
0, 2026/09/15 09:42:49.764, 4, 16, 2835 MHz, 10251 MHz, P2, 115.62 W
1, 2026/09/15 09:42:49.764, 4, 16, 2820 MHz, 10251 MHz, P2, 106.68 W
0, 2026/09/15 09:42:49.964, 4, 16, 2835 MHz, 10251 MHz, P2, 116.12 W
1, 2026/09/15 09:42:49.964, 4, 16, 2820 MHz, 10251 MHz, P2, 106.94 W
0, 2026/09/15 09:42:50.165, 4, 16, 2835 MHz, 10251 MHz, P2, 116.12 W
1, 2026/09/15 09:42:50.165, 4, 16, 2820 MHz, 10251 MHz, P2, 106.94 W
0, 2026/09/15 09:42:50.365, 4, 16, 2835 MHz, 10251 MHz, P2, 117.10 W
1, 2026/09/15 09:42:50.365, 4, 16, 2820 MHz, 10251 MHz, P2, 107.80 W
0, 2026/09/15 09:42:50.565, 4, 16, 2835 MHz, 10251 MHz, P2, 117.10 W
1, 2026/09/15 09:42:50.566, 4, 16, 2820 MHz, 10251 MHz, P2, 107.80 W
0, 2026/09/15 09:42:50.766, 4, 16, 2835 MHz, 10251 MHz, P2, 117.10 W
1, 2026/09/15 09:42:50.766, 4, 16, 2820 MHz, 10251 MHz, P2, 107.54 W
0, 2026/09/15 09:42:50.966, 4, 16, 2835 MHz, 10251 MHz, P2, 116.62 W
1, 2026/09/15 09:42:50.966, 4, 16, 2820 MHz, 10251 MHz, P2, 107.54 W
0, 2026/09/15 09:42:51.167, 4, 16, 2835 MHz, 10251 MHz, P2, 116.62 W
1, 2026/09/15 09:42:51.167, 4, 16, 2820 MHz, 10251 MHz, P2, 107.54 W
0, 2026/09/15 09:42:51.367, 4, 16, 2835 MHz, 10251 MHz, P2, 116.68 W
1, 2026/09/15 09:42:51.367, 4, 16, 2820 MHz, 10251 MHz, P2, 107.60 W
0, 2026/09/15 09:42:51.568, 4, 16, 2835 MHz, 10251 MHz, P2, 116.68 W
1, 2026/09/15 09:42:51.568, 4, 16, 2820 MHz, 10251 MHz, P2, 107.60 W
0, 2026/09/15 09:42:51.768, 4, 16, 2835 MHz, 10251 MHz, P2, 116.68 W
1, 2026/09/15 09:42:51.768, 4, 16, 2820 MHz, 10251 MHz, P2, 107.54 W
0, 2026/09/15 09:42:51.969, 4, 16, 2835 MHz, 10251 MHz, P2, 117.46 W
1, 2026/09/15 09:42:51.969, 4, 16, 2820 MHz, 10251 MHz, P2, 107.54 W
0, 2026/09/15 09:42:52.169, 4, 16, 2835 MHz, 10251 MHz, P2, 117.46 W
1, 2026/09/15 09:42:52.169, 4, 16, 2820 MHz, 10251 MHz, P2, 107.54 W
0, 2026/09/15 09:42:52.369, 4, 16, 2835 MHz, 10251 MHz, P2, 118.24 W
1, 2026/09/15 09:42:52.370, 4, 16, 2820 MHz, 10251 MHz, P2, 108.40 W
0, 2026/09/15 09:42:52.570, 4, 16, 2835 MHz, 10251 MHz, P2, 118.24 W
1, 2026/09/15 09:42:52.570, 4, 16, 2820 MHz, 10251 MHz, P2, 108.40 W
0, 2026/09/15 09:42:52.770, 4, 16, 2835 MHz, 10251 MHz, P2, 118.24 W
1, 2026/09/15 09:42:52.771, 4, 16, 2820 MHz, 10251 MHz, P2, 108.46 W
0, 2026/09/15 09:42:52.971, 4, 16, 2835 MHz, 10251 MHz, P2, 118.39 W
1, 2026/09/15 09:42:52.971, 4, 16, 2820 MHz, 10251 MHz, P2, 108.46 W
0, 2026/09/15 09:42:53.171, 4, 16, 2835 MHz, 10251 MHz, P2, 118.39 W
1, 2026/09/15 09:42:53.171, 4, 16, 2820 MHz, 10251 MHz, P2, 108.46 W
0, 2026/09/15 09:42:53.372, 4, 16, 2835 MHz, 10251 MHz, P2, 117.86 W
1, 2026/09/15 09:42:53.372, 4, 16, 2820 MHz, 10251 MHz, P2, 107.99 W
0, 2026/09/15 09:42:53.572, 4, 16, 2835 MHz, 10251 MHz, P2, 117.86 W
1, 2026/09/15 09:42:53.573, 4, 16, 2820 MHz, 10251 MHz, P2, 107.99 W
0, 2026/09/15 09:42:53.773, 4, 16, 2835 MHz, 10251 MHz, P2, 117.86 W
1, 2026/09/15 09:42:53.773, 4, 16, 2820 MHz, 10251 MHz, P2, 97.20 W
0, 2026/09/15 09:42:53.973, 4, 16, 2835 MHz, 10251 MHz, P2, 105.79 W
1, 2026/09/15 09:42:53.973, 4, 16, 2820 MHz, 10251 MHz, P2, 97.20 W
0, 2026/09/15 09:42:54.174, 4, 16, 2835 MHz, 10251 MHz, P2, 105.79 W
1, 2026/09/15 09:42:54.174, 4, 16, 2820 MHz, 10251 MHz, P2, 97.20 W
0, 2026/09/15 09:42:54.374, 4, 16, 2835 MHz, 10501 MHz, P0, 93.57 W
1, 2026/09/15 09:42:54.374, 4, 16, 2820 MHz, 10501 MHz, P0, 86.28 W
0, 2026/09/15 09:42:54.574, 4, 16, 2835 MHz, 10501 MHz, P0, 93.57 W
1, 2026/09/15 09:42:54.575, 4, 16, 2820 MHz, 10501 MHz, P0, 86.28 W
