# provenance: env=sys sha=717b683182 cmd="nvidia-smi --query-gpu=index,timestamp,pcie.link.gen.current,pcie.link.width.current,clocks.sm,clocks.mem,pstate,power.draw --format=csv -lms 200" date=2026-09-15T09:36:51+00:00 gpu="RTX 4090 x2" driver=610.57.04 exp=EXP-020-appendixC dtype=half round=6
index, timestamp, pcie.link.gen.current, pcie.link.width.current, clocks.current.sm [MHz], clocks.current.memory [MHz], pstate, power.draw [W]
0, 2026/09/15 09:36:51.395, 4, 16, 2835 MHz, 10501 MHz, P0, 83.72 W
1, 2026/09/15 09:36:51.402, 4, 16, 2820 MHz, 10501 MHz, P0, 80.50 W
0, 2026/09/15 09:36:51.607, 4, 16, 2835 MHz, 10501 MHz, P0, 83.72 W
1, 2026/09/15 09:36:51.607, 4, 16, 2820 MHz, 10501 MHz, P0, 80.50 W
0, 2026/09/15 09:36:51.807, 2, 16, 2835 MHz, 10501 MHz, P5, 83.34 W
1, 2026/09/15 09:36:51.807, 4, 16, 2820 MHz, 10501 MHz, P0, 79.36 W
0, 2026/09/15 09:36:52.008, 2, 16, 2835 MHz, 10501 MHz, P5, 83.34 W
1, 2026/09/15 09:36:52.025, 4, 16, 2820 MHz, 10501 MHz, P0, 79.36 W
0, 2026/09/15 09:36:52.226, 2, 16, 2835 MHz, 10501 MHz, P5, 83.34 W
1, 2026/09/15 09:36:52.226, 4, 16, 2520 MHz, 10501 MHz, P0, 68.67 W
0, 2026/09/15 09:36:52.426, 4, 16, 2520 MHz, 10251 MHz, P2, 63.15 W
1, 2026/09/15 09:36:52.426, 4, 16, 2520 MHz, 10501 MHz, P0, 68.67 W
0, 2026/09/15 09:36:52.626, 4, 16, 2520 MHz, 10251 MHz, P2, 63.15 W
1, 2026/09/15 09:36:52.627, 4, 16, 2520 MHz, 10501 MHz, P0, 68.67 W
0, 2026/09/15 09:36:52.827, 4, 16, 2520 MHz, 10251 MHz, P2, 59.19 W
1, 2026/09/15 09:36:52.827, 4, 16, 2520 MHz, 10251 MHz, P2, 63.33 W
0, 2026/09/15 09:36:53.027, 4, 16, 2520 MHz, 10251 MHz, P2, 59.19 W
1, 2026/09/15 09:36:53.027, 4, 16, 2520 MHz, 10251 MHz, P2, 63.33 W
0, 2026/09/15 09:36:53.228, 4, 16, 2520 MHz, 10251 MHz, P2, 59.19 W
1, 2026/09/15 09:36:53.228, 4, 16, 2820 MHz, 10251 MHz, P2, 63.33 W
0, 2026/09/15 09:36:53.428, 4, 16, 2835 MHz, 10251 MHz, P2, 74.79 W
1, 2026/09/15 09:36:53.428, 4, 16, 2820 MHz, 10251 MHz, P2, 69.10 W
0, 2026/09/15 09:36:53.628, 4, 16, 2835 MHz, 10251 MHz, P2, 74.79 W
1, 2026/09/15 09:36:53.628, 4, 16, 2820 MHz, 10251 MHz, P2, 69.10 W
0, 2026/09/15 09:36:53.828, 4, 16, 2835 MHz, 10251 MHz, P2, 94.68 W
1, 2026/09/15 09:36:53.829, 4, 16, 2820 MHz, 10251 MHz, P2, 86.84 W
0, 2026/09/15 09:36:54.029, 4, 16, 2835 MHz, 10251 MHz, P2, 94.68 W
1, 2026/09/15 09:36:54.029, 4, 16, 2820 MHz, 10251 MHz, P2, 86.84 W
0, 2026/09/15 09:36:54.229, 4, 16, 2835 MHz, 10251 MHz, P2, 94.68 W
1, 2026/09/15 09:36:54.229, 4, 16, 2820 MHz, 10251 MHz, P2, 100.98 W
0, 2026/09/15 09:36:54.429, 4, 16, 2835 MHz, 10251 MHz, P2, 108.00 W
1, 2026/09/15 09:36:54.430, 4, 16, 2820 MHz, 10251 MHz, P2, 100.98 W
0, 2026/09/15 09:36:54.630, 4, 16, 2835 MHz, 10251 MHz, P2, 108.00 W
1, 2026/09/15 09:36:54.630, 4, 16, 2820 MHz, 10251 MHz, P2, 100.98 W
0, 2026/09/15 09:36:54.830, 4, 16, 2835 MHz, 10251 MHz, P2, 111.03 W
1, 2026/09/15 09:36:54.830, 4, 16, 2820 MHz, 10251 MHz, P2, 104.21 W
0, 2026/09/15 09:36:55.031, 4, 16, 2835 MHz, 10251 MHz, P2, 111.03 W
1, 2026/09/15 09:36:55.031, 4, 16, 2820 MHz, 10251 MHz, P2, 104.21 W
0, 2026/09/15 09:36:55.231, 4, 16, 2835 MHz, 10251 MHz, P2, 111.03 W
1, 2026/09/15 09:36:55.231, 4, 16, 2820 MHz, 10251 MHz, P2, 104.91 W
