# provenance: env=sys sha=717b683182 cmd="nvidia-smi --query-gpu=index,timestamp,pcie.link.gen.current,pcie.link.width.current,clocks.sm,clocks.mem,pstate,power.draw --format=csv -lms 200" date=2026-09-15T09:45:32+00:00 gpu="RTX 4090 x2" driver=610.57.04 exp=EXP-020-appendixC dtype=half round=54
index, timestamp, pcie.link.gen.current, pcie.link.width.current, clocks.current.sm [MHz], clocks.current.memory [MHz], pstate, power.draw [W]
0, 2026/09/15 09:45:32.712, 4, 16, 2835 MHz, 10501 MHz, P0, 93.84 W
1, 2026/09/15 09:45:32.719, 4, 16, 2820 MHz, 10501 MHz, P0, 85.72 W
0, 2026/09/15 09:45:32.923, 4, 16, 2835 MHz, 10501 MHz, P0, 88.42 W
1, 2026/09/15 09:45:32.924, 4, 16, 2820 MHz, 10501 MHz, P0, 79.55 W
0, 2026/09/15 09:45:33.124, 4, 16, 2835 MHz, 10501 MHz, P0, 88.42 W
1, 2026/09/15 09:45:33.124, 4, 16, 2820 MHz, 10501 MHz, P0, 79.55 W
0, 2026/09/15 09:45:33.324, 4, 16, 2835 MHz, 10501 MHz, P0, 88.42 W
1, 2026/09/15 09:45:33.342, 2, 16, 690 MHz, 810 MHz, P5, 74.80 W
0, 2026/09/15 09:45:33.542, 4, 16, 2520 MHz, 10501 MHz, P0, 82.99 W
1, 2026/09/15 09:45:33.542, 2, 16, 690 MHz, 810 MHz, P5, 74.80 W
0, 2026/09/15 09:45:33.743, 4, 16, 2520 MHz, 10501 MHz, P0, 82.99 W
1, 2026/09/15 09:45:33.743, 2, 16, 690 MHz, 810 MHz, P5, 74.80 W
0, 2026/09/15 09:45:33.943, 4, 16, 2520 MHz, 10251 MHz, P2, 72.74 W
1, 2026/09/15 09:45:33.943, 4, 16, 2520 MHz, 10251 MHz, P2, 62.20 W
0, 2026/09/15 09:45:34.143, 4, 16, 2520 MHz, 10251 MHz, P2, 72.74 W
1, 2026/09/15 09:45:34.144, 4, 16, 2520 MHz, 10251 MHz, P2, 62.20 W
0, 2026/09/15 09:45:34.344, 4, 16, 2520 MHz, 10251 MHz, P2, 64.53 W
1, 2026/09/15 09:45:34.344, 4, 16, 2610 MHz, 10251 MHz, P2, 60.22 W
0, 2026/09/15 09:45:34.544, 4, 16, 2520 MHz, 10251 MHz, P2, 64.53 W
1, 2026/09/15 09:45:34.544, 4, 16, 2610 MHz, 10251 MHz, P2, 60.22 W
0, 2026/09/15 09:45:34.745, 4, 16, 2520 MHz, 10251 MHz, P2, 64.53 W
1, 2026/09/15 09:45:34.745, 4, 16, 2610 MHz, 10251 MHz, P2, 60.22 W
0, 2026/09/15 09:45:34.945, 4, 16, 2835 MHz, 10251 MHz, P2, 82.72 W
1, 2026/09/15 09:45:34.945, 4, 16, 2820 MHz, 10251 MHz, P2, 80.45 W
0, 2026/09/15 09:45:35.145, 4, 16, 2835 MHz, 10251 MHz, P2, 82.72 W
1, 2026/09/15 09:45:35.145, 4, 16, 2820 MHz, 10251 MHz, P2, 80.45 W
0, 2026/09/15 09:45:35.346, 4, 16, 2835 MHz, 10251 MHz, P2, 103.16 W
1, 2026/09/15 09:45:35.346, 4, 16, 2820 MHz, 10251 MHz, P2, 97.44 W
0, 2026/09/15 09:45:35.546, 4, 16, 2835 MHz, 10251 MHz, P2, 103.16 W
1, 2026/09/15 09:45:35.546, 4, 16, 2820 MHz, 10251 MHz, P2, 97.44 W
0, 2026/09/15 09:45:35.746, 4, 16, 2835 MHz, 10251 MHz, P2, 103.16 W
1, 2026/09/15 09:45:35.747, 4, 16, 2820 MHz, 10251 MHz, P2, 97.44 W
0, 2026/09/15 09:45:35.947, 4, 16, 2835 MHz, 10251 MHz, P2, 113.10 W
1, 2026/09/15 09:45:35.947, 4, 16, 2820 MHz, 10251 MHz, P2, 104.79 W
0, 2026/09/15 09:45:36.147, 4, 16, 2835 MHz, 10251 MHz, P2, 113.10 W
1, 2026/09/15 09:45:36.147, 4, 16, 2820 MHz, 10251 MHz, P2, 104.79 W
0, 2026/09/15 09:45:36.348, 4, 16, 2835 MHz, 10251 MHz, P2, 114.53 W
1, 2026/09/15 09:45:36.348, 4, 16, 2820 MHz, 10251 MHz, P2, 106.04 W
0, 2026/09/15 09:45:36.548, 4, 16, 2835 MHz, 10251 MHz, P2, 114.53 W
