# provenance: env=sys sha=717b683182 cmd="nvidia-smi --query-gpu=index,timestamp,pcie.link.gen.current,pcie.link.width.current,clocks.sm,clocks.mem,pstate,power.draw --format=csv -lms 200" date=2026-09-15T02:53:15+00:00 gpu="RTX 4090 x2" driver=610.57.04 exp=EXP-020-appendixA dtype=float round=3
index, timestamp, pcie.link.gen.current, pcie.link.width.current, clocks.current.sm [MHz], clocks.current.memory [MHz], pstate, power.draw [W]
1, 2026/09/15 02:53:21.651, 4, 16, 2820 MHz, 10251 MHz, P2, 106.07 W
0, 2026/09/15 02:53:21.851, 4, 16, 2835 MHz, 10251 MHz, P2, 114.78 W
1, 2026/09/15 02:53:21.851, 4, 16, 2820 MHz, 10251 MHz, P2, 106.07 W
0, 2026/09/15 02:53:22.051, 4, 16, 2835 MHz, 10251 MHz, P2, 114.78 W
1, 2026/09/15 02:53:22.052, 4, 16, 2820 MHz, 10251 MHz, P2, 105.79 W
0, 2026/09/15 02:53:22.252, 4, 16, 2835 MHz, 10251 MHz, P2, 115.34 W
1, 2026/09/15 02:53:22.252, 4, 16, 2820 MHz, 10251 MHz, P2, 105.79 W
0, 2026/09/15 02:53:22.452, 4, 16, 2835 MHz, 10251 MHz, P2, 115.34 W
1, 2026/09/15 02:53:22.453, 4, 16, 2820 MHz, 10251 MHz, P2, 105.79 W
0, 2026/09/15 02:53:22.653, 4, 16, 2835 MHz, 10251 MHz, P2, 115.14 W
1, 2026/09/15 02:53:22.653, 4, 16, 2820 MHz, 10251 MHz, P2, 106.28 W
0, 2026/09/15 02:53:22.853, 4, 16, 2835 MHz, 10251 MHz, P2, 115.14 W
1, 2026/09/15 02:53:22.853, 4, 16, 2820 MHz, 10251 MHz, P2, 106.28 W
0, 2026/09/15 02:53:23.053, 4, 16, 2835 MHz, 10251 MHz, P2, 115.14 W
1, 2026/09/15 02:53:23.054, 4, 16, 2820 MHz, 10251 MHz, P2, 106.51 W
0, 2026/09/15 02:53:23.254, 4, 16, 2835 MHz, 10251 MHz, P2, 116.08 W
1, 2026/09/15 02:53:23.254, 4, 16, 2820 MHz, 10251 MHz, P2, 106.51 W
0, 2026/09/15 02:53:23.454, 4, 16, 2835 MHz, 10251 MHz, P2, 116.08 W
1, 2026/09/15 02:53:23.454, 4, 16, 2820 MHz, 10251 MHz, P2, 106.51 W
0, 2026/09/15 02:53:23.655, 4, 16, 2835 MHz, 10251 MHz, P2, 115.87 W
1, 2026/09/15 02:53:23.655, 4, 16, 2820 MHz, 10251 MHz, P2, 106.94 W
0, 2026/09/15 02:53:23.855, 4, 16, 2835 MHz, 10251 MHz, P2, 115.87 W
1, 2026/09/15 02:53:23.855, 4, 16, 2820 MHz, 10251 MHz, P2, 106.94 W
0, 2026/09/15 02:53:24.055, 4, 16, 2835 MHz, 10251 MHz, P2, 115.87 W
1, 2026/09/15 02:53:24.056, 4, 16, 2820 MHz, 10251 MHz, P2, 106.97 W
0, 2026/09/15 02:53:24.256, 4, 16, 2835 MHz, 10251 MHz, P2, 115.13 W
1, 2026/09/15 02:53:24.256, 4, 16, 2820 MHz, 10251 MHz, P2, 106.97 W
0, 2026/09/15 02:53:24.456, 4, 16, 2835 MHz, 10251 MHz, P2, 115.13 W
1, 2026/09/15 02:53:24.457, 4, 16, 2820 MHz, 10251 MHz, P2, 106.97 W
0, 2026/09/15 02:53:24.657, 4, 16, 2835 MHz, 10251 MHz, P2, 114.53 W
1, 2026/09/15 02:53:24.657, 4, 16, 2820 MHz, 10251 MHz, P2, 106.06 W
0, 2026/09/15 02:53:24.857, 4, 16, 2835 MHz, 10251 MHz, P2, 114.53 W
1, 2026/09/15 02:53:24.857, 4, 16, 2820 MHz, 10251 MHz, P2, 106.06 W
0, 2026/09/15 02:53:25.058, 4, 16, 2835 MHz, 10251 MHz, P2, 114.53 W
1, 2026/09/15 02:53:25.058, 4, 16, 2820 MHz, 10501 MHz, P0, 101.47 W
0, 2026/09/15 02:53:25.258, 4, 16, 2835 MHz, 10501 MHz, P0, 106.59 W
1, 2026/09/15 02:53:25.258, 4, 16, 2820 MHz, 10501 MHz, P0, 101.47 W
0, 2026/09/15 02:53:25.459, 4, 16, 2835 MHz, 10501 MHz, P0, 106.59 W
1, 2026/09/15 02:53:25.459, 4, 16, 2820 MHz, 10501 MHz, P0, 101.47 W
